evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,1,                      ,D[AR/ 33/229/334]
2,P,1,P[  -1/   2/  68/  -1],             
3,D,0,                      ,D[AR/277/224/334]
4,P,0,P[  -2/   0/ 258/  -2],             
5,D,1,                      ,D[AR/291/224/334]
6,D,0,                      ,D[FL/102/226/334]
7,P,0,P[  -1/  20/ 286/   1],             
8,P,0,P[  -5/   7/ 143/   6],             
9,P,1,P[ -19/   0/ 234/ -19],             
10,P,0,P[  -2/   1/ 162/  -2],             
11,P,0,P[ -24/  21/ 244/ -20],             
12,P,0,P[ -12/   6/ 232/ -10],             
13,P,0,P[  -9/   5/  74/  -8],             
14,P,0,P[  -8/   5/ 116/   4],             
15,P,0,P[  -3/  16/   3/  -1],             
16,D,0,                      ,D[AR/187/224/334]
17,D,0,                      ,D[FL/281/224/334]
18,D,0,                      ,D[AR/175/224/334]
19,D,1,                      ,D[IM/ 26/224/334]
20,P,0,P[  -5/   9/ 200/   6],             
21,D,1,                      ,D[AR/ 44/224/334]
22,P,1,P[ -23/   5/  23/ -23],             
23,P,1,P[  -9/  35/ 212/  31],             
24,P,0,P[  -4/   9/ 288/  -2],             
25,D,0,                      ,D[FL/307/225/334]
26,P,0,P[  -3/   6/ 201/   5],             
27,D,0,                      ,D[AR/ 62/225/334]
28,P,0,P[  -7/   3/ 100/   2],             
29,D,0,                      ,D[IM/144/225/334]
30,P,0,P[  -3/   0/ 313/  -3],             
31,P,1,P[ -42/  47/  42/  32],             
32,P,1,P[  -4/  41/ 223/  33],             
33,P,0,P[  -3/  19/ 220/  15],             
34,D,0,                      ,D[AR/ 33/224/334]
35,D,0,                      ,D[FL/235/224/334]
36,P,1,P[ -16/   6/ 123/   3],             
37,D,0,                      ,D[FL/ 25/223/334]
38,P,0,P[   0/  17/ 266/   1],             
39,P,0,P[  -4/  21/ 247/  15],             
40,D,1,                      ,D[AR/ 37/223/334]
41,P,1,P[  -3/   2/ 182/   1],             
42,D,1,                      ,D[FL/123/223/334]
43,D,1,                      ,D[AR/ 88/223/334]
44,D,1,                      ,D[FL/150/223/334]
45,D,1,                      ,D[FL/123/222/334]
46,D,0,                      ,D[AR/243/222/334]
47,P,1,P[ -21/   9/ 127/   7],             
48,P,0,P[ -11/   3/ 197/ -10],             
49,P,0,P[ -62/   2/  62/ -57],             
50,D,0,                      ,D[AR/ 34/222/334]
51,D,1,                      ,D[IM/ 48/222/334]
52,D,1,                      ,D[FL/  8/222/334]
53,D,0,                      ,D[IM/261/221/334]
54,P,0,P[  -5/   7/ 326/  -5],             
55,P,1,P[ -15/  12/ 212/ -14],             
56,D,0,                      ,D[FL/150/219/334]
57,P,0,P[  -5/  92/   5/  88],             
58,D,0,                      ,D[AR/278/219/334]
59,D,0,                      ,D[AR/129/219/334]
60,D,0,                      ,D[AR/  2/219/334]
61,P,1,P[  -2/   6/ 323/   5],             
62,P,1,P[  -8/   0/ 299/  -8],             
63,D,1,                      ,D[FL/193/219/334]
64,D,0,                      ,D[AR/ 48/218/334]
65,D,0,                      ,D[AR/176/218/334]
66,D,1,                      ,D[FL/305/218/334]
67,D,0,                      ,D[FL/217/218/334]
68,P,1,P[  -8/  23/ 115/  19],             
69,P,0,P[ -10/  54/ 229/  -7],             
70,P,1,P[ -10/  18/ 174/  16],             
71,P,1,P[  -5/  23/ 170/  19],             
72,P,1,P[  -8/   4/ 227/  -7],             
73,P,1,P[  -8/  47/   8/  41],             
74,P,1,P[  -4/  23/  61/  -1],             
75,D,1,                      ,D[FL/297/216/334]
76,P,0,P[  -7/   3/ 100/  -7],             
77,P,1,P[ -31/   7/  31/ -30],             
78,D,0,                      ,D[FL/ 29/215/334]
79,P,0,P[  -7/   2/ 268/  -7],             
80,D,1,                      ,D[FL/192/215/334]
81,P,0,P[ -10/   0/ 135/  -8],             
82,P,0,P[ -34/  42/  34/  40],             
83,D,1,                      ,D[AR/292/216/334]
84,D,0,                      ,D[IM/ 48/216/334]
85,D,1,                      ,D[AR/222/216/334]
86,D,0,                      ,D[FL/212/216/334]
87,D,1,                      ,D[FL/123/216/334]
88,P,1,P[   0/   7/ 227/   1],             
89,P,1,P[ -42/  25/  42/ -30],             
90,D,0,                      ,D[FL/ 97/217/334]
91,D,0,                      ,D[IM/ 99/217/334]
92,P,1,P[ -18/   3/ 219/ -16],             
93,P,1,P[ -10/   6/  10/  -9],             
94,D,0,                      ,D[AR/ 45/217/334]
95,D,0,                      ,D[FL/300/217/334]
96,D,1,                      ,D[AR/243/217/334]
97,D,1,                      ,D[FL/ 23/217/334]
98,P,0,P[  -1/  27/ 198/  26],             
99,D,0,                      ,D[IM/263/217/334]
100,P,1,P[  -1/   1/ 142/  -1],             
101,P,0,P[  -4/   5/ 329/  -4],             
102,P,0,P[   0/  11/ 102/   9],             
103,D,0,                      ,D[IM/219/217/334]
104,P,0,P[  -8/   3/ 331/  -8],             
105,D,0,                      ,D[AR/195/217/334]
106,P,1,P[  -7/   0/ 309/  -2],             
107,D,0,                      ,D[FL/116/217/334]
108,P,1,P[  -9/   4/ 280/  -9],             
109,D,1,                      ,D[FL/286/217/334]
110,D,0,                      ,D[AR/250/218/334]
111,D,0,                      ,D[FL/297/218/334]
112,D,1,                      ,D[FL/ 81/218/334]
113,P,0,P[  -2/  19/ 203/  15],             
114,D,0,                      ,D[FL/217/220/334]
115,P,0,P[ -14/   9/  57/ -14],             
116,P,1,P[  -4/   8/ 325/   6],             
117,D,0,                      ,D[AR/270/220/334]
118,D,0,                      ,D[AR/  2/220/334]
119,D,1,                      ,D[IM/309/220/334]
120,D,1,                      ,D[IM/192/220/334]
121,P,0,P[  -5/   2/ 293/  -5],             
122,D,0,                      ,D[FL/298/220/334]
123,P,1,P[  -3/   5/ 304/   4],             
