evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,0,P[  -1/   0/ 191/  -1],             
2,D,1,                      ,D[AR/269/224/334]
3,D,1,                      ,D[FL/120/224/334]
4,D,0,                      ,D[FL/ 31/223/334]
5,P,1,P[  -4/   7/ 327/   6],             
6,D,0,                      ,D[AR/175/223/334]
7,D,0,                      ,D[AR/278/223/334]
8,P,0,P[  -7/  12/ 258/  11],             
9,D,1,                      ,D[AR/293/223/334]
10,D,1,                      ,D[AR/ 92/221/334]
11,D,1,                      ,D[FL/139/221/334]
12,D,0,                      ,D[FL/126/222/334]
13,D,0,                      ,D[AR/ 64/222/334]
14,P,1,P[ -32/  13/ 252/  11],             
15,D,0,                      ,D[FL/264/224/334]
16,D,0,                      ,D[FL/139/224/334]
17,P,1,P[ -50/  20/  50/  16],             
18,D,1,                      ,D[AR/ 41/224/334]
19,P,1,P[ -60/  38/  60/ -53],             
20,D,1,                      ,D[AR/ 11/224/334]
21,P,0,P[ -17/  25/  39/  19],             
22,P,0,P[  -3/ 114/   3/  10],             
23,D,0,                      ,D[FL/191/224/334]
24,D,1,                      ,D[FL/228/224/334]
25,D,1,                      ,D[FL/262/224/334]
26,D,0,                      ,D[AR/224/224/334]
27,P,0,P[   0/   9/ 267/   1],             
28,P,0,P[  -1/   1/ 314/  -1],             
29,P,0,P[  -3/ 174/ 112/  34],             
30,P,0,P[  -4/   3/ 212/   2],             
31,P,1,P[  -5/   2/ 288/  -4],             
32,D,0,                      ,D[FL/307/223/334]
33,P,0,P[  -5/  50/ 201/  48],             
34,D,0,                      ,D[AR/ 59/223/334]
35,P,0,P[  -6/  13/ 100/  11],             
36,D,1,                      ,D[FL/141/223/334]
37,P,1,P[ -40/  14/  40/ -40],             
38,P,1,P[ -13/   9/  96/   7],             
39,D,0,                      ,D[AR/ 87/222/334]
40,D,1,                      ,D[AR/ 35/222/334]
41,P,1,P[  -4/   7/ 247/  -4],             
42,P,0,P[ -20/   0/  20/  -2],             
43,D,0,                      ,D[FL/  7/221/334]
44,D,0,                      ,D[AR/197/221/334]
45,P,1,P[  -2/   9/ 148/   8],             
46,P,0,P[  -2/   0/ 266/  -2],             
47,D,1,                      ,D[AR/208/220/334]
48,P,0,P[ -17/  76/  17/  69],             
49,P,0,P[  -1/ 183/ 120/   4],             
50,D,0,                      ,D[FL/ 35/220/334]
51,D,0,                      ,D[FL/121/220/334]
52,D,0,                      ,D[AR/ 83/220/334]
53,D,1,                      ,D[FL/148/220/334]
54,D,0,                      ,D[FL/121/220/334]
55,D,0,                      ,D[FL/242/220/334]
56,D,1,                      ,D[IM/263/220/334]
57,P,0,P[  -3/   8/ 127/   7],             
58,P,1,P[  -1/  42/ 197/   2],             
59,P,0,P[ -62/  29/  62/ -55],             
60,D,1,                      ,D[FL/ 32/220/334]
61,D,1,                      ,D[AR/176/220/334]
62,P,1,P[  -2/   3/ 175/  -2],             
63,D,1,                      ,D[AR/273/219/334]
64,P,0,P[  -5/   7/ 326/  -5],             
65,P,0,P[  -4/   3/ 212/  -4],             
66,D,1,                      ,D[FL/147/219/334]
67,P,0,P[  -4/  63/  26/   7],             
68,D,0,                      ,D[AR/226/218/334]
69,D,0,                      ,D[FL/238/218/334]
70,D,0,                      ,D[IM/124/218/334]
71,P,0,P[ -34/   0/  72/ -34],             
72,P,0,P[ -17/  34/  39/ -16],             
73,P,1,P[  -5/   0/ 293/  -1],             
74,P,1,P[   0/  54/   0/  44],             
75,D,0,                      ,D[AR/221/219/334]
76,D,1,                      ,D[IM/ 11/219/334]
77,D,0,                      ,D[FL/126/219/334]
78,P,0,P[  -6/  11/ 129/  -5],             
79,D,0,                      ,D[AR/275/219/334]
80,D,0,                      ,D[FL/235/219/334]
81,D,1,                      ,D[FL/ 33/219/334]
82,D,1,                      ,D[AR/  4/219/334]
83,D,1,                      ,D[IM/ 92/219/334]
84,P,1,P[ -58/  23/  58/ -39],             
85,P,0,P[  -2/   0/ 157/  -2],             
86,P,0,P[  -6/   3/ 327/   2],             
87,P,1,P[  -6/  30/ 235/  26],             
88,P,0,P[  -6/   1/  87/  -6],             
89,P,1,P[ -36/  67/  36/  66],             
90,P,0,P[  -5/   0/ 299/  -5],             
91,P,0,P[ -15/   0/  89/  -1],             
92,P,1,P[  -1/  22/ 116/  20],             
93,D,1,                      ,D[AR/302/216/334]
