evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
135,P,0,P[  -6/   0/ 165/  -5],             
136,P,1,P[ -11/   0/ 332/  -1],             
137,D,1,                      ,D[AR/ 56/227/334]
138,P,1,P[  -3/  22/ 221/  -2],             
139,P,1,P[ -20/  87/  20/  85],             
140,P,0,P[   0/  19/ 144/  18],             
141,D,1,                      ,D[AR/ 61/227/334]
142,D,0,                      ,D[FL/237/227/334]
143,P,0,P[  -7/  43/ 115/  35],             
144,P,0,P[ -42/  13/  42/ -37],             
145,P,1,P[  -4/   8/ 203/  -1],             
146,P,0,P[  -3/   5/ 150/  -3],             
147,P,0,P[  -3/   1/  74/  -2],             
148,P,1,P[  -1/  37/ 109/  33],             
149,P,1,P[ -11/   7/ 232/ -11],             
150,D,0,                      ,D[AR/130/226/334]
151,P,1,P[  -1/   9/ 225/  -1],             
152,D,1,                      ,D[IM/141/226/334]
153,P,1,P[ -11/   3/ 120/ -11],             
154,P,1,P[  -1/   2/ 272/  -1],             
155,D,0,                      ,D[AR/111/225/334]
156,P,0,P[  -3/   1/  74/  -2],             
157,D,0,                      ,D[AR/222/225/334]
158,D,1,                      ,D[AR/ 24/225/334]
159,P,1,P[  -1/  17/ 196/  -1],             
160,P,0,P[  -2/   3/ 196/   2],             
161,D,0,                      ,D[FL/219/225/334]
162,D,1,                      ,D[FL/136/225/334]
163,P,0,P[ -23/  15/  67/  12],             
164,D,0,                      ,D[AR/201/225/334]
165,P,1,P[  -8/  14/ 103/  -8],             
166,P,0,P[  -1/   6/ 158/  -1],             
167,P,0,P[  -1/   0/ 137/  -1],             
168,P,1,P[  -3/   3/ 305/  -3],             
169,P,0,P[ -22/   0/ 113/ -19],             
170,D,0,                      ,D[FL/205/224/334]
171,D,1,                      ,D[IM/ 70/224/334]
172,D,1,                      ,D[FL/304/224/334]
173,P,1,P[  -1/   3/ 182/  -1],             
174,D,1,                      ,D[AR/230/224/334]
175,D,1,                      ,D[AR/109/224/334]
176,P,0,P[  -2/  50/  38/  43],             
177,D,0,                      ,D[AR/ 84/223/334]
178,P,1,P[ -10/   5/ 163/ -10],             
179,P,0,P[ -27/  42/  63/  34],             
180,P,0,P[   0/   8/ 321/   1],             
181,D,0,                      ,D[FL/216/223/334]
182,D,0,                      ,D[FL/ 29/223/334]
183,D,0,                      ,D[AR/111/223/334]
184,D,1,                      ,D[AR/161/223/334]
185,P,1,P[  -2/  15/ 110/  -1],             
186,D,1,                      ,D[AR/ 38/223/334]
187,D,0,                      ,D[AR/221/223/334]
188,D,0,                      ,D[FL/ 30/223/334]
189,P,1,P[  -1/   9/ 295/  -1],             
190,D,0,                      ,D[AR/180/223/334]
191,P,0,P[  -4/   3/ 325/   2],             
192,D,1,                      ,D[FL/115/223/334]
193,D,0,                      ,D[FL/253/222/334]
194,P,1,P[  -5/   7/  88/   6],             
195,D,1,                      ,D[FL/189/222/334]
196,D,0,                      ,D[FL/173/223/334]
197,P,0,P[  -3/  11/ 191/   9],             
198,D,1,                      ,D[AR/ 59/223/334]
199,D,1,                      ,D[FL/172/223/334]
