evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,0,                      ,D[AR/267/229/334]
2,D,0,                      ,D[AR/116/229/334]
3,P,1,P[  -2/   3/ 139/  -2],             
4,P,0,P[  -7/  14/ 266/  11],             
5,D,1,                      ,D[FL/ 11/223/334]
6,P,1,P[  -1/   0/ 315/  -1],             
7,D,0,                      ,D[AR/ 92/222/334]
8,D,1,                      ,D[FL/136/222/334]
9,D,0,                      ,D[FL/123/221/334]
10,D,1,                      ,D[FL/ 56/221/334]
11,D,0,                      ,D[FL/304/221/334]
12,P,1,P[  -5/  34/ 234/  -4],             
13,P,0,P[  -3/  12/ 162/  -1],             
14,P,0,P[ -27/   0/  60/ -26],             
15,D,0,                      ,D[AR/ 11/222/334]
16,P,1,P[ -39/  80/  39/  63],             
17,P,0,P[  -4/   3/ 158/  -2],             
18,P,0,P[ -10/  14/ 268/  13],             
19,D,0,                      ,D[AR/221/221/334]
20,D,0,                      ,D[FL/256/221/334]
21,D,0,                      ,D[AR/ 25/221/334]
22,P,0,P[  -1/  28/  45/  25],             
23,P,1,P[  -7/  21/  23/  -7],             
24,P,0,P[  -6/   5/ 212/   4],             
25,P,1,P[  -4/  11/ 288/  -2],             
26,D,0,                      ,D[FL/307/219/334]
27,P,1,P[  -3/   9/ 201/  -3],             
28,D,0,                      ,D[FL/ 53/219/334]
29,P,0,P[ -23/   9/ 100/   7],             
30,D,1,                      ,D[AR/135/219/334]
31,D,1,                      ,D[AR/  8/219/334]
32,P,1,P[  -8/   0/ 302/  -8],             
33,D,1,                      ,D[AR/ 37/218/334]
34,P,1,P[ -15/   0/  83/ -15],             
35,D,0,                      ,D[IM/ 11/219/334]
36,P,0,P[  -2/   0/ 220/  -2],             
37,D,0,                      ,D[FL/ 29/219/334]
38,P,0,P[ -30/   1/ 130/ -30],             
39,P,0,P[   0/   3/ 123/   2],             
40,D,0,                      ,D[AR/ 24/219/334]
41,P,1,P[  -7/  14/ 266/  -6],             
42,P,1,P[ -13/   0/ 141/  -1],             
43,D,1,                      ,D[FL/210/221/334]
44,D,0,                      ,D[FL/ 22/221/334]
45,P,1,P[  -7/   1/ 231/  -6],             
46,P,1,P[  -5/   2/ 203/  -5],             
47,P,1,P[  -3/   0/ 262/  -3],             
48,D,1,                      ,D[AR/ 78/221/334]
49,P,1,P[  -6/   6/ 233/  -6],             
50,D,0,                      ,D[FL/ 31/220/334]
51,D,0,                      ,D[AR/253/220/334]
52,P,1,P[  -8/  24/ 267/  -4],             
53,D,0,                      ,D[AR/133/219/334]
54,P,0,P[ -30/  30/  62/ -25],             
55,D,0,                      ,D[FL/ 31/219/334]
56,P,0,P[  -4/   0/ 255/  -4],             
57,D,0,                      ,D[AR/160/219/334]
58,D,0,                      ,D[AR/267/219/334]
59,P,0,P[  -5/   4/ 326/  -5],             
60,P,0,P[  -6/   5/ 212/  -6],             
61,D,0,                      ,D[FL/136/219/334]
62,P,0,P[ -26/  52/  26/ -13],             
63,D,0,                      ,D[FL/212/219/334]
64,D,1,                      ,D[AR/224/219/334]
65,D,0,                      ,D[AR/110/219/334]
66,D,1,                      ,D[AR/  2/219/334]
67,P,1,P[  -2/   8/ 323/   7],             
68,P,0,P[  -3/   0/ 293/  -1],             
69,P,0,P[   0/ 136/   0/ 111],             
70,D,1,                      ,D[FL/205/219/334]
71,D,1,                      ,D[IM/ 11/219/334]
72,D,1,                      ,D[FL/113/219/334]
73,P,0,P[  -8/   9/ 129/  -7],             
74,D,0,                      ,D[AR/269/220/334]
75,P,0,P[  -9/ 126/   9/  -8],             
76,D,0,                      ,D[IM/ 32/220/334]
77,P,0,P[  -8/   9/ 129/   7],             
78,P,0,P[  -3/   6/ 144/  -2],             
79,P,1,P[  -2/   6/  74/   5],             
80,D,0,                      ,D[AR/ 49/219/334]
81,P,1,P[ -41/  71/  41/ -39],             
82,P,0,P[  -3/   6/ 238/   4],             
83,D,1,                      ,D[AR/229/219/334]
84,D,0,                      ,D[AR/ 78/219/334]
85,P,1,P[ -10/  18/ 177/  14],             
86,P,0,P[  -2/   2/  72/  -2],             
87,D,1,                      ,D[AR/ 43/218/334]
88,D,0,                      ,D[AR/201/218/334]
89,D,0,                      ,D[AR/250/218/334]
90,D,0,                      ,D[FL/258/218/334]
91,P,0,P[  -8/  36/ 185/  31],             
92,P,1,P[  -4/   7/ 146/  -4],             
93,D,0,                      ,D[AR/ 87/216/334]
94,D,0,                      ,D[FL/143/216/334]
95,D,0,                      ,D[FL/ 45/216/334]
96,P,0,P[ -30/   1/ 157/ -28],             
97,P,0,P[   0/   9/ 218/   1],             
98,D,0,                      ,D[FL/277/216/334]
99,D,1,                      ,D[FL/228/216/334]
100,D,1,                      ,D[AR/ 12/217/334]
101,D,0,                      ,D[FL/ 97/217/334]
102,D,0,                      ,D[IM/209/217/334]
103,P,0,P[  -3/   2/  82/   1],             
104,P,0,P[  -7/   0/ 287/  -6],             
105,D,0,                      ,D[FL/144/217/334]
106,P,0,P[ -29/  65/  29/ -19],             
107,D,0,                      ,D[FL/261/217/334]
108,D,0,                      ,D[IM/ 25/217/334]
109,P,0,P[ -47/  14/  92/ -45],             
110,P,0,P[ -52/  21/  52/  13],             
111,P,1,P[ -28/  47/  28/ -28],             
112,D,1,                      ,D[AR/  2/217/334]
113,D,0,                      ,D[FL/304/217/334]
114,P,0,P[ -10/   0/ 276/ -10],             
115,D,0,                      ,D[AR/272/217/334]
116,D,1,                      ,D[AR/231/217/334]
117,P,1,P[  -1/  18/ 203/  14],             
118,D,1,                      ,D[AR/200/217/334]
119,P,0,P[  -5/   8/  57/  -5],             
120,P,0,P[  -4/   5/ 325/   3],             
121,D,1,                      ,D[FL/253/217/334]
122,P,1,P[  -3/   4/ 307/   3],             
123,D,1,                      ,D[AR/179/215/334]
124,D,0,                      ,D[AR/ 38/215/334]
125,D,0,                      ,D[AR/271/215/334]
126,D,0,                      ,D[FL/207/215/334]
127,P,0,P[  -8/   0/ 304/  -1],             
128,D,0,                      ,D[AR/302/215/334]
129,D,0,                      ,D[AR/245/215/334]
130,P,0,P[ -40/   0/ 136/ -37],             
131,D,1,                      ,D[AR/ 24/215/334]
132,D,1,                      ,D[AR/224/214/334]
133,D,1,                      ,D[FL/101/214/334]
134,D,0,                      ,D[IM/ 33/214/334]
135,P,1,P[ -10/   5/ 246/  -9],             
136,P,0,P[   0/   8/ 176/   6],             
137,D,0,                      ,D[FL/ 29/214/334]
138,D,1,                      ,D[AR/ 46/214/334]
139,D,0,                      ,D[AR/268/215/334]
140,D,1,                      ,D[AR/140/215/334]
141,D,0,                      ,D[AR/ 43/215/334]
142,P,0,P[ -29/  30/  62/  29],             
143,P,0,P[  -1/ 193/ 115/ 163],             
144,P,1,P[ -42/   1/  42/ -38],             
145,P,1,P[   0/   6/ 203/   1],             
146,P,1,P[  -1/  14/ 150/  13],             
147,P,1,P[ -21/  12/  74/ -16],             
148,P,1,P[  -4/  16/ 109/  14],             
149,P,0,P[  -1/  36/ 232/  -1],             
150,D,1,                      ,D[AR/126/211/334]
151,D,0,                      ,D[AR/223/211/334]
152,D,0,                      ,D[FL/139/211/334]
153,P,0,P[  -6/ 133/ 120/  -5],             
154,P,0,P[  -6/  13/ 251/  -4],             
155,P,1,P[ -25/  87/  25/ -20],             
156,D,0,                      ,D[AR/248/211/334]
157,P,1,P[  -7/   4/ 250/   2],             
158,P,0,P[   0/   6/ 299/   5],             
159,P,1,P[ -29/  29/  63/ -24],             
160,D,1,                      ,D[AR/222/211/334]
161,D,0,                      ,D[FL/304/211/334]
162,P,0,P[  -2/  14/  93/  12],             
163,P,1,P[   0/   5/  67/   4],             
164,D,0,                      ,D[FL/193/209/334]
165,D,0,                      ,D[FL/ 91/209/334]
166,P,1,P[  -2/  19/  89/   1],             
167,P,1,P[ -13/   4/ 219/ -10],             
168,P,1,P[ -16/  46/  45/ -10],             
169,P,0,P[ -42/   2/  66/   1],             
170,D,0,                      ,D[AR/ 59/209/334]
171,D,1,                      ,D[AR/259/209/334]
172,D,1,                      ,D[AR/226/208/334]
173,P,0,P[ -20/   0/ 271/ -19],             
174,P,0,P[ -38/  76/  38/  60],             
175,D,1,                      ,D[FL/ 74/208/334]
176,P,0,P[ -14/   1/ 163/ -14],             
177,P,1,P[ -63/   6/  63/  -2],             
178,P,0,P[  -8/   9/ 228/   7],             
179,D,0,                      ,D[FL/101/209/334]
180,D,0,                      ,D[AR/156/209/334]
181,D,0,                      ,D[AR/130/209/334]
182,P,0,P[ -16/   3/ 218/ -15],             
183,P,1,P[ -17/  29/ 248/ -15],             
184,P,0,P[ -19/   0/  19/  -1],             
185,D,0,                      ,D[FL/214/209/334]
186,D,1,                      ,D[FL/115/209/334]
187,D,0,                      ,D[FL/170/208/334]
188,P,0,P[  -8/   2/ 251/  -7],             
189,D,0,                      ,D[FL/ 34/208/334]
190,P,1,P[ -22/  16/ 253/ -21],             
191,D,1,                      ,D[AR/177/208/334]
192,D,0,                      ,D[FL/ 98/208/334]
193,D,0,                      ,D[FL/ 55/208/334]
194,P,0,P[  -3/   3/ 278/  -2],             
195,D,1,                      ,D[AR/ 72/208/334]
196,D,0,                      ,D[FL/ 99/208/334]
197,D,1,                      ,D[AR/224/208/334]
198,P,1,P[ -55/  40/  55/  24],             
199,P,1,P[  -2/   6/ 128/  -2],             
