evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -7/   2/  75/   1],             
2,D,1,                      ,D[IM/284/212/334]
3,D,0,                      ,D[AR/105/212/334]
4,D,0,                      ,D[FL/ 31/212/334]
5,P,0,P[  -4/   7/ 327/   6],             
6,D,1,                      ,D[FL/169/212/334]
7,D,0,                      ,D[AR/278/212/334]
8,P,0,P[ -11/   4/ 206/   3],             
9,P,1,P[  -7/   7/ 101/  -7],             
10,P,1,P[  -8/   8/  67/  -8],             
11,D,1,                      ,D[FL/ 10/211/334]
12,D,1,                      ,D[FL/265/210/334]
13,D,0,                      ,D[AR/134/210/334]
14,P,0,P[  -1/  11/  50/  10],             
15,D,1,                      ,D[AR/ 40/210/334]
16,P,0,P[ -60/  14/  60/ -55],             
17,D,0,                      ,D[AR/ 12/210/334]
18,D,0,                      ,D[AR/ 94/210/334]
19,D,1,                      ,D[AR/ 27/210/334]
20,P,1,P[  -1/  10/ 169/   9],             
21,D,1,                      ,D[AR/ 51/210/334]
22,D,0,                      ,D[IM/279/210/334]
23,D,0,                      ,D[AR/222/210/334]
24,P,0,P[  -2/   0/ 267/  -2],             
25,P,1,P[ -38/  67/  38/  52],             
26,D,0,                      ,D[AR/ 80/209/334]
27,D,1,                      ,D[FL/285/209/334]
28,P,1,P[  -2/   3/ 288/  -2],             
29,D,1,                      ,D[FL/307/208/334]
30,P,0,P[  -6/  41/ 201/  40],             
31,D,1,                      ,D[AR/ 56/207/334]
32,P,0,P[  -1/  35/ 260/  -1],             
33,P,1,P[  -1/   0/ 283/  -1],             
34,P,1,P[  -4/   0/ 313/  -4],             
35,P,0,P[ -42/  41/  42/  27],             
36,P,1,P[  -6/   0/ 223/  -1],             
37,P,0,P[  -6/  11/ 220/   7],             
38,D,0,                      ,D[FL/ 30/207/334]
39,P,1,P[  -8/   3/ 130/  -8],             
40,P,0,P[  -1/   0/ 123/  -1],             
41,P,0,P[  -8/  82/  20/  74],             
42,D,0,                      ,D[FL/  7/207/334]
43,D,1,                      ,D[FL/191/207/334]
44,P,1,P[  -3/  10/ 148/   9],             
45,P,1,P[  -1/  15/ 266/  -1],             
46,D,0,                      ,D[FL/207/207/334]
47,P,0,P[ -17/   5/  17/   4],             
48,P,1,P[   0/ 182/ 120/   5],             
49,D,0,                      ,D[FL/ 34/206/334]
50,D,0,                      ,D[AR/209/206/334]
51,D,1,                      ,D[AR/ 83/206/334]
52,D,1,                      ,D[FL/143/206/334]
53,D,1,                      ,D[FL/117/206/334]
54,D,0,                      ,D[AR/243/204/334]
55,P,1,P[  -3/   3/ 310/  -3],             
56,P,0,P[ -16/  32/  16/ -14],             
57,D,1,                      ,D[FL/205/204/334]
58,P,1,P[  -7/  10/ 152/  -7],             
59,D,1,                      ,D[IM/263/207/334]
60,P,1,P[ -20/  23/  44/ -17],             
61,P,0,P[  -4/  15/ 175/  -1],             
62,D,0,                      ,D[AR/273/207/334]
63,P,1,P[  -5/   7/ 326/  -5],             
64,P,0,P[  -6/  18/ 212/  -5],             
65,D,1,                      ,D[AR/140/207/334]
66,P,0,P[  -6/   0/ 271/  -6],             
67,D,1,                      ,D[AR/186/207/334]
68,D,1,                      ,D[AR/  2/207/334]
69,P,1,P[  -2/   3/ 323/   2],             
70,P,0,P[  -7/  16/ 299/  15],             
71,D,0,                      ,D[IM/191/207/334]
72,P,0,P[   0/  84/   0/  69],             
73,D,0,                      ,D[AR/218/207/334]
74,P,1,P[  -9/  16/ 274/  -8],             
75,P,0,P[  -6/   2/ 129/  -5],             
76,D,0,                      ,D[FL/276/207/334]
77,P,0,P[  -3/  12/ 174/  10],             
78,P,0,P[  -1/   1/ 170/  -1],             
79,P,0,P[ -10/   6/ 227/  -9],             
80,P,0,P[  -8/ 101/   8/  90],             
81,P,0,P[ -11/  37/  61/  -5],             
82,D,0,                      ,D[FL/297/207/334]
83,P,0,P[  -7/  12/ 100/  -7],             
84,P,1,P[ -31/  15/  31/ -30],             
85,D,1,                      ,D[AR/ 27/207/334]
86,D,0,                      ,D[FL/240/207/334]
87,P,0,P[  -7/  16/ 299/  -7],             
88,P,0,P[   0/   7/  89/   6],             
89,P,0,P[  -1/  95/ 116/  87],             
90,D,0,                      ,D[FL/304/207/334]
91,P,1,P[  -1/   6/ 295/  -1],             
92,D,0,                      ,D[AR/209/206/334]
93,P,1,P[  -8/   7/ 131/   6],             
94,D,1,                      ,D[AR/ 89/206/334]
95,P,0,P[ -41/  40/  41/ -31],             
96,P,0,P[   0/  48/ 195/   7],             
97,P,0,P[  -2/  28/ 219/   1],             
98,P,1,P[ -10/ 103/  10/  -1],             
99,D,0,                      ,D[AR/ 42/206/334]
100,P,1,P[  -1/  42/ 253/  38],             
101,P,0,P[  -4/  55/ 198/  52],             
102,D,0,                      ,D[FL/260/207/334]
103,P,0,P[ -36/   1/  82/  -1],             
104,P,0,P[  -4/   7/ 287/  -3],             
105,D,0,                      ,D[FL/149/207/334]
106,P,1,P[  -4/  42/  29/   1],             
107,D,0,                      ,D[AR/271/207/334]
108,D,1,                      ,D[IM/ 26/207/334]
109,P,1,P[ -10/   7/  92/ -10],             
110,P,0,P[ -27/   2/  52/  -2],             
111,P,0,P[  -3/  39/  28/  -3],             
112,D,1,                      ,D[AR/  2/207/334]
113,D,0,                      ,D[FL/304/207/334]
114,P,0,P[ -17/   0/ 276/  -1],             
115,D,0,                      ,D[IM/279/207/334]
116,D,0,                      ,D[AR/ 77/207/334]
117,D,0,                      ,D[AR/ 87/207/334]
118,P,0,P[  -3/   0/  57/  -3],             
119,P,0,P[ -12/   2/ 185/ -12],             
120,P,0,P[  -3/   0/ 194/  -1],             
121,P,0,P[  -7/   0/ 293/  -7],             
122,D,0,                      ,D[FL/298/207/334]
123,P,0,P[  -3/   3/ 304/  -3],             
124,D,0,                      ,D[FL/304/207/334]
125,P,0,P[  -2/   3/ 164/   2],             
126,P,1,P[  -4/   2/ 136/  -3],             
127,D,0,                      ,D[IM/ 26/207/334]
128,D,0,                      ,D[AR/233/207/334]
129,P,0,P[  -2/   3/ 241/   1],             
130,P,0,P[ -14/   4/ 223/   1],             
131,D,0,                      ,D[AR/222/207/334]
132,P,0,P[   0/  14/  94/  13],             
133,D,1,                      ,D[AR/223/207/334]
134,P,1,P[  -2/   3/ 249/  -2],             
135,P,0,P[  -4/  15/ 221/  -4],             
136,P,1,P[ -20/  71/  20/  69],             
137,P,0,P[  -1/   0/ 144/  -1],             
138,D,0,                      ,D[FL/259/202/334]
139,D,0,                      ,D[FL/ 54/202/334]
140,D,1,                      ,D[AR/  6/202/334]
141,P,0,P[  -2/   5/  86/  -1],             
142,P,1,P[  -1/  95/ 116/   2],             
143,D,0,                      ,D[AR/  6/202/334]
144,P,0,P[ -14/   1/ 137/  -1],             
145,P,1,P[  -3/  25/ 126/  -3],             
146,P,0,P[  -1/  11/  48/   1],             
147,D,0,                      ,D[AR/ 88/202/334]
148,D,1,                      ,D[AR/267/202/334]
149,P,0,P[  -2/   8/ 278/  -2],             
150,D,0,                      ,D[AR/293/202/334]
151,D,0,                      ,D[FL/309/202/334]
152,P,0,P[  -5/   0/ 248/  -5],             
153,D,0,                      ,D[FL/189/202/334]
154,D,0,                      ,D[FL/236/202/334]
155,P,0,P[  -6/   1/ 129/  -1],             
156,D,0,                      ,D[FL/217/202/334]
157,D,0,                      ,D[FL/ 23/202/334]
158,P,1,P[   0/   3/ 310/   2],             
159,D,0,                      ,D[FL/307/200/334]
160,P,0,P[  -1/   0/  63/  -1],             
161,D,0,                      ,D[IM/123/200/334]
162,D,1,                      ,D[AR/221/200/334]
163,D,0,                      ,D[AR/132/200/334]
164,P,0,P[  -3/   3/ 114/  -3],             
165,P,0,P[  -1/   6/ 172/  -1],             
166,D,0,                      ,D[FL/124/200/334]
167,P,0,P[ -61/   1/  61/ -57],             
168,P,0,P[  -1/   0/ 155/  -1],             
169,D,0,                      ,D[AR/  6/200/334]
170,P,1,P[  -1/   6/  90/   5],             
171,D,0,                      ,D[AR/ 41/200/334]
172,P,1,P[   0/  28/ 123/  26],             
173,D,0,                      ,D[FL/261/201/334]
174,P,1,P[  -7/   0/ 271/  -1],             
175,P,0,P[   0/   5/ 182/   4],             
176,D,1,                      ,D[AR/231/200/334]
177,D,1,                      ,D[FL/100/200/334]
178,P,1,P[ -14/  15/  38/  10],             
179,D,1,                      ,D[AR/ 76/199/334]
180,D,1,                      ,D[AR/ 81/199/334]
181,P,0,P[   0/  16/  57/  13],             
182,P,1,P[  -1/   7/ 204/  -1],             
183,D,0,                      ,D[IM/ 26/199/334]
184,P,1,P[  -1/   3/ 142/  -1],             
185,D,0,                      ,D[FL/190/199/334]
186,P,0,P[  -5/   0/ 248/  -5],             
187,P,1,P[ -19/  76/  19/  73],             
188,D,1,                      ,D[AR/222/200/334]
189,D,0,                      ,D[FL/118/200/334]
190,D,1,                      ,D[AR/176/200/334]
191,P,0,P[  -6/  34/ 251/  -1],             
192,D,0,                      ,D[FL/ 35/200/334]
193,P,0,P[ -88/   1/  88/  -6],             
194,D,1,                      ,D[FL/186/200/334]
195,D,0,                      ,D[FL/ 97/200/334]
196,D,0,                      ,D[AR/ 58/200/334]
197,D,0,                      ,D[AR/ 52/200/334]
198,D,0,                      ,D[FL/ 76/200/334]
199,D,0,                      ,D[FL/205/200/334]
