evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,0,P[  -9/   6/ 288/   5],             
2,P,0,P[ -52/  18/  52/ -52],             
3,P,0,P[ -11/  30/  11/  -9],             
4,D,1,                      ,D[AR/269/200/334]
5,D,0,                      ,D[IM/117/200/334]
6,D,1,                      ,D[AR/ 92/200/334]
7,P,0,P[  -4/   1/ 301/  -4],             
8,D,1,                      ,D[AR/256/200/334]
9,D,1,                      ,D[AR/ 85/200/334]
10,P,0,P[  -1/   6/ 172/  -1],             
11,D,1,                      ,D[FL/ 94/200/334]
12,D,0,                      ,D[FL/126/200/334]
13,D,1,                      ,D[AR/ 85/200/334]
14,D,0,                      ,D[FL/281/200/334]
15,D,0,                      ,D[FL/194/200/334]
16,P,1,P[  -9/ 104/   9/  -5],             
17,P,0,P[ -18/   0/ 202/ -18],             
18,D,0,                      ,D[AR/ 47/200/334]
19,P,0,P[  -5/  87/   5/  11],             
20,D,1,                      ,D[AR/130/200/334]
21,D,0,                      ,D[FL/146/200/334]
22,D,1,                      ,D[AR/177/200/334]
23,D,0,                      ,D[FL/258/200/334]
24,D,0,                      ,D[FL/ 23/200/334]
25,D,0,                      ,D[FL/ 32/200/334]
26,P,0,P[  -1/  47/ 154/  44],             
27,D,1,                      ,D[AR/  1/200/334]
28,P,1,P[ -12/   1/ 113/  -2],             
29,P,1,P[  -7/  20/  94/  18],             
30,P,0,P[  -1/   2/ 256/   1],             
31,P,1,P[ -92/   2/  92/  -8],             
32,P,0,P[ -34/   0/  68/  -3],             
33,D,0,                      ,D[FL/ 53/199/334]
34,P,0,P[  -3/   4/ 109/   3],             
35,D,1,                      ,D[FL/262/199/334]
36,P,0,P[  -5/  87/   5/  84],             
37,D,0,                      ,D[AR/130/199/334]
38,P,0,P[ -12/   0/ 238/  -1],             
39,P,0,P[  -4/   0/ 274/  -4],             
40,P,0,P[  -3/   0/ 306/  -1],             
41,D,0,                      ,D[FL/159/199/334]
42,D,0,                      ,D[IM/301/199/334]
43,P,1,P[  -4/   2/ 211/  -4],             
44,D,0,                      ,D[FL/260/200/334]
45,P,0,P[  -6/   9/ 295/  -6],             
46,D,0,                      ,D[FL/166/200/334]
47,P,1,P[  -2/   5/ 119/  -2],             
48,P,1,P[ -13/   7/ 184/ -13],             
49,D,0,                      ,D[FL/304/202/334]
50,P,0,P[ -11/   1/ 184/ -10],             
51,P,1,P[  -1/   0/ 155/  -1],             
52,D,0,                      ,D[FL/206/203/334]
53,P,0,P[  -2/   4/  74/  -2],             
54,D,1,                      ,D[FL/306/203/334]
55,P,1,P[ -41/  17/  41/ -38],             
56,P,0,P[ -38/   1/  81/  -3],             
57,D,1,                      ,D[AR/218/202/334]
58,D,1,                      ,D[AR/232/202/334]
59,P,1,P[   0/  16/  56/   1],             
60,D,0,                      ,D[FL/ 10/202/334]
61,P,0,P[  -6/   3/ 204/   2],             
62,D,1,                      ,D[AR/ 88/202/334]
63,D,0,                      ,D[AR/ 27/202/334]
64,P,0,P[  -1/   2/ 313/  -1],             
65,P,1,P[  -3/   2/ 332/   1],             
66,P,0,P[ -56/  15/  56/ -36],             
67,P,0,P[  -7/   0/ 280/  -1],             
68,P,1,P[  -6/  15/ 177/  12],             
69,P,0,P[ -16/  53/  40/ -16],             
70,D,0,                      ,D[FL/ 44/203/334]
71,P,0,P[  -7/  79/   7/  58],             
72,P,0,P[   0/  20/ 171/  17],             
73,D,1,                      ,D[AR/179/203/334]
74,D,0,                      ,D[AR/ 41/203/334]
75,D,1,                      ,D[AR/210/203/334]
76,P,0,P[  -1/  17/ 185/  16],             
77,D,0,                      ,D[FL/212/203/334]
78,P,0,P[   0/   5/ 247/   4],             
79,P,0,P[ -17/   0/ 116/  -2],             
80,P,0,P[   0/  18/  80/   3],             
81,P,0,P[ -16/  53/  40/  48],             
82,D,0,                      ,D[IM/210/203/334]
83,P,0,P[   0/  10/ 324/   1],             
84,D,1,                      ,D[FL/262/203/334]
85,P,1,P[  -2/  29/ 219/  25],             
86,P,1,P[  -3/   4/ 101/  -3],             
87,D,0,                      ,D[FL/ 44/201/334]
88,D,0,                      ,D[FL/190/201/334]
89,D,0,                      ,D[FL/ 81/201/334]
90,D,0,                      ,D[FL/260/201/334]
91,P,0,P[  -3/   9/  70/   8],             
92,D,0,                      ,D[FL/276/201/334]
93,P,0,P[ -26/   2/ 149/   1],             
94,P,0,P[  -8/  16/ 299/  15],             
95,D,0,                      ,D[FL/213/201/334]
96,D,0,                      ,D[AR/ 58/201/334]
97,P,0,P[  -3/   2/ 163/  -3],             
98,P,0,P[  -1/   0/  62/  -1],             
99,D,0,                      ,D[FL/160/201/334]
100,P,0,P[ -24/   0/  92/ -22],             
101,P,0,P[  -5/   0/ 289/  -1],             
102,D,1,                      ,D[FL/189/201/334]
103,P,0,P[ -49/   7/  49/  -2],             
104,P,0,P[   0/  18/ 235/   3],             
105,D,0,                      ,D[AR/268/201/334]
106,P,0,P[ -10/   0/ 242/ -10],             
107,P,1,P[  -1/   0/ 122/  -1],             
108,D,1,                      ,D[FL/160/201/334]
109,D,1,                      ,D[FL/189/202/334]
110,D,0,                      ,D[FL/182/202/334]
111,D,1,                      ,D[AR/293/202/334]
112,D,0,                      ,D[AR/ 84/201/334]
113,P,0,P[  -1/  34/ 196/  31],             
114,P,1,P[  -1/   4/ 180/   3],             
115,P,1,P[  -3/   0/ 234/  -1],             
116,D,0,                      ,D[FL/ 32/203/334]
117,D,0,                      ,D[FL/258/203/334]
118,D,1,                      ,D[AR/181/203/334]
119,P,1,P[  -3/   4/ 174/  -3],             
120,D,0,                      ,D[IM/ 11/201/334]
121,D,1,                      ,D[AR/271/201/334]
122,D,0,                      ,D[FL/254/201/334]
123,D,1,                      ,D[AR/ 57/201/334]
124,D,1,                      ,D[AR/182/201/334]
125,D,1,                      ,D[FL/ 49/201/334]
126,P,0,P[  -4/   1/ 227/  -4],             
127,D,1,                      ,D[AR/ 58/203/334]
128,P,1,P[  -7/   8/ 271/  -7],             
129,P,1,P[  -3/   0/ 297/  -1],             
130,P,1,P[ -17/   5/  88/   4],             
131,P,0,P[  -2/  25/ 115/  -1],             
132,P,0,P[  -2/  12/ 165/  -1],             
133,D,1,                      ,D[AR/294/204/334]
134,P,1,P[  -2/   8/ 278/  -1],             
135,D,1,                      ,D[AR/226/203/334]
136,D,1,                      ,D[AR/ 12/203/334]
137,D,0,                      ,D[FL/ 32/203/334]
138,D,1,                      ,D[FL/113/203/334]
139,D,0,                      ,D[AR/131/203/334]
140,P,0,P[  -9/   0/ 153/  -9],             
141,P,0,P[  -1/   2/ 256/  -1],             
142,D,0,                      ,D[FL/281/203/334]
143,D,0,                      ,D[AR/178/203/334]
144,D,1,                      ,D[AR/ 85/203/334]
145,D,1,                      ,D[AR/131/203/334]
146,P,1,P[ -12/   0/ 334/ -12],             
147,P,0,P[  -4/   1/ 183/  -4],             
