evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -4/   6/ 205/  -2],             
2,D,1,                      ,D[AR/140/231/334]
3,D,1,                      ,D[FL/297/231/334]
4,D,1,                      ,D[AR/ 19/230/334]
5,D,0,                      ,D[FL/ 79/230/334]
6,D,1,                      ,D[AR/289/230/334]
7,P,0,P[   0/  31/ 206/  29],             
8,P,0,P[  -5/   6/ 101/   5],             
9,P,0,P[  -7/   1/ 286/  -6],             
10,P,0,P[   0/  29/ 143/  26],             
11,P,0,P[  -2/   4/ 234/  -2],             
12,P,0,P[  -7/   0/ 162/  -6],             
13,P,1,P[  -5/   2/ 244/  -5],             
14,P,0,P[ -11/  44/ 232/  -5],             
15,P,1,P[ -14/  12/  74/ -13],             
16,P,1,P[  -5/  41/ 116/  40],             
17,P,1,P[  -3/  48/   3/   2],             
18,D,0,                      ,D[AR/180/226/334]
19,P,0,P[ -24/  19/  24/  17],             
20,D,1,                      ,D[AR/ 37/226/334]
21,D,0,                      ,D[IM/288/226/334]
22,P,0,P[  -8/  40/ 150/  -3],             
23,P,1,P[  -8/   2/ 188/  -7],             
24,D,1,                      ,D[IM/185/226/334]
25,P,1,P[  -1/   1/ 288/  -1],             
26,D,1,                      ,D[FL/305/226/334]
27,D,0,                      ,D[AR/ 25/226/334]
28,D,0,                      ,D[FL/ 57/226/334]
29,P,0,P[ -10/  59/ 100/  54],             
30,D,1,                      ,D[AR/133/226/334]
31,D,1,                      ,D[FL/ 11/226/334]
32,D,1,                      ,D[AR/ 95/227/334]
33,D,1,                      ,D[AR/178/227/334]
34,D,1,                      ,D[AR/ 38/227/334]
35,P,0,P[  -6/   0/  83/  -6],             
36,D,1,                      ,D[AR/ 19/227/334]
37,D,1,                      ,D[AR/ 83/227/334]
38,D,1,                      ,D[FL/ 36/227/334]
39,P,0,P[  -5/   0/ 301/  -5],             
40,P,0,P[ -21/   0/ 173/ -20],             
41,P,1,P[  -3/   0/ 141/  -3],             
42,P,0,P[   0/   5/ 186/   4],             
43,P,1,P[  -9/  34/ 266/   2],             
44,D,0,                      ,D[IM/254/227/334]
45,D,0,                      ,D[FL/191/227/334]
46,D,1,                      ,D[AR/ 22/227/334]
47,P,0,P[  -4/   6/ 235/   5],             
48,D,0,                      ,D[AR/193/227/334]
49,P,0,P[  -2/   2/ 297/  -2],             
50,P,0,P[ -16/  85/  16/ -13],             
51,D,0,                      ,D[FL/186/227/334]
52,P,0,P[ -62/   9/  62/ -57],             
