evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,0,                      ,D[FL/281/219/334]
2,D,0,                      ,D[FL/169/219/334]
3,P,1,P[  -5/  33/ 205/   2],             
4,D,1,                      ,D[FL/145/216/334]
5,P,1,P[  -4/   1/ 299/  -4],             
6,P,1,P[  -1/  35/ 258/  34],             
7,D,0,                      ,D[AR/289/217/334]
8,D,0,                      ,D[AR/ 93/217/334]
9,D,0,                      ,D[FL/238/217/334]
10,P,0,P[  -1/   4/ 286/  -1],             
11,P,0,P[  -2/   2/ 252/  -2],             
12,D,1,                      ,D[FL/262/217/334]
13,D,1,                      ,D[AR/135/218/334]
14,P,0,P[ -23/   5/  50/   4],             
15,D,0,                      ,D[AR/ 41/218/334]
16,P,1,P[ -60/  38/  60/ -53],             
17,D,1,                      ,D[AR/ 12/218/334]
18,D,0,                      ,D[FL/ 94/218/334]
19,P,1,P[  -3/   4/  26/   3],             
20,D,0,                      ,D[FL/145/218/334]
21,D,0,                      ,D[AR/184/218/334]
22,D,1,                      ,D[FL/277/218/334]
23,D,1,                      ,D[FL/219/218/334]
24,P,0,P[ -12/   1/ 267/ -11],             
25,P,1,P[  -3/   0/ 319/  -1],             
26,P,1,P[  -8/  16/  38/  13],             
27,D,0,                      ,D[FL/ 80/217/334]
28,D,0,                      ,D[FL/189/217/334]
29,D,1,                      ,D[AR/141/217/334]
30,P,1,P[  -2/   3/ 162/   2],             
31,P,0,P[  -2/   8/ 201/  -2],             
32,D,1,                      ,D[AR/ 59/216/334]
33,P,0,P[  -4/   4/ 100/   3],             
34,D,0,                      ,D[IM/138/216/334]
35,P,1,P[  -3/ 182/ 109/ 174],             
36,D,1,                      ,D[AR/221/216/334]
37,P,1,P[ -42/  73/  42/  54],             
38,P,1,P[  -1/   0/ 223/  -1],             
39,P,0,P[  -8/   1/ 292/  -8],             
40,P,1,P[ -15/  79/  15/  75],             
41,P,0,P[  -3/   1/ 130/  -3],             
42,P,1,P[  -2/  13/ 123/  11],             
43,D,1,                      ,D[FL/ 25/216/334]
44,P,1,P[ -12/   1/ 266/ -11],             
45,P,0,P[  -5/   4/ 148/   3],             
46,P,0,P[ -16/   7/ 266/ -16],             
47,D,0,                      ,D[FL/195/213/334]
48,D,0,                      ,D[FL/ 22/213/334]
49,P,1,P[  -8/   2/ 231/  -7],             
50,P,0,P[ -11/   1/ 203/ -10],             
51,P,0,P[  -8/  34/ 262/  -6],             
52,D,1,                      ,D[AR/ 83/212/334]
53,D,0,                      ,D[AR/140/212/334]
54,P,1,P[  -3/  29/ 257/  27],             
55,D,0,                      ,D[FL/261/214/334]
56,P,1,P[ -16/  75/  16/ -14],             
57,D,0,                      ,D[FL/192/214/334]
58,P,0,P[   0/  38/  62/   3],             
59,D,0,                      ,D[FL/ 33/214/334]
60,P,1,P[  -1/  11/ 255/  10],             
61,D,1,                      ,D[FL/166/216/334]
62,P,1,P[  -5/   1/ 213/  -5],             
63,P,1,P[  -5/   1/ 326/  -5],             
64,P,0,P[  -2/   7/ 212/  -2],             
65,D,1,                      ,D[FL/143/216/334]
66,P,0,P[ -26/  73/  26/ -10],             
67,D,0,                      ,D[AR/221/216/334]
68,D,1,                      ,D[AR/230/216/334]
69,P,0,P[  -1/   0/ 294/  -1],             
70,P,0,P[  -1/   2/  72/  -1],             
71,P,0,P[ -10/  29/  39/ -10],             
72,P,1,P[ -15/   2/ 293/   1],             
73,P,1,P[   0/ 117/   0/  95],             
74,D,0,                      ,D[FL/215/215/334]
75,D,1,                      ,D[AR/ 12/215/334]
76,D,0,                      ,D[FL/123/215/334]
77,P,0,P[  -3/   1/ 129/  -3],             
78,D,0,                      ,D[FL/274/215/334]
79,P,1,P[  -9/  31/   9/  -9],             
80,D,0,                      ,D[FL/ 34/215/334]
81,D,0,                      ,D[AR/  4/215/334]
82,D,0,                      ,D[FL/ 98/215/334]
83,D,1,                      ,D[FL/124/215/334]
84,P,0,P[  -8/  90/   8/  81],             
85,P,1,P[   0/  39/  61/   4],             
86,D,0,                      ,D[AR/289/214/334]
87,P,0,P[  -6/   4/ 100/  -6],             
88,P,0,P[ -31/  37/  31/ -29],             
89,D,1,                      ,D[AR/ 27/214/334]
90,D,1,                      ,D[FL/236/214/334]
91,P,0,P[  -5/   1/ 299/  -5],             
92,P,0,P[ -89/   4/  89/   1],             
93,P,0,P[  -1/   0/ 116/  -1],             
94,P,1,P[ -51/  19/  51/ -49],             
95,D,1,                      ,D[FL/260/217/334]
96,D,1,                      ,D[AR/268/217/334]
97,P,1,P[  -1/   0/ 131/  -1],             
98,D,1,                      ,D[AR/ 53/217/334]
99,P,0,P[ -34/  35/  42/ -22],             
100,D,0,                      ,D[FL/ 91/217/334]
101,D,1,                      ,D[AR/ 92/217/334]
102,P,1,P[ -17/   3/ 219/ -15],             
103,P,0,P[ -10/  37/  10/  -7],             
104,D,1,                      ,D[AR/ 42/217/334]
105,P,1,P[  -7/   0/ 306/  -1],             
106,D,1,                      ,D[AR/227/216/334]
107,P,0,P[  -2/   4/  72/  -2],             
108,D,0,                      ,D[FL/215/216/334]
109,D,0,                      ,D[AR/ 79/216/334]
110,P,0,P[  -1/   2/  71/   1],             
111,P,1,P[  -1/  22/ 112/  -1],             
112,P,0,P[ -29/   5/  29/ -25],             
113,D,1,                      ,D[AR/269/216/334]
114,D,1,                      ,D[FL/ 25/216/334]
115,P,0,P[  -6/  18/  92/  -5],             
116,P,1,P[  -1/   0/  52/  -1],             
117,P,1,P[  -4/   7/ 327/  -3],             
118,P,0,P[  -7/   0/ 280/  -7],             
119,D,1,                      ,D[AR/279/215/334]
120,D,0,                      ,D[AR/276/215/334]
121,D,1,                      ,D[FL/ 74/215/334]
122,P,0,P[ -11/   2/ 203/  -1],             
123,D,1,                      ,D[AR/208/215/334]
124,P,0,P[  -8/   9/ 242/  -7],             
125,D,1,                      ,D[IM/ 77/215/334]
126,D,0,                      ,D[FL/261/215/334]
127,D,0,                      ,D[AR/  2/215/334]
128,D,0,                      ,D[FL/308/215/334]
129,D,0,                      ,D[AR/180/215/334]
130,D,0,                      ,D[FL/265/215/334]
131,P,0,P[  -5/   1/ 299/  -5],             
132,D,0,                      ,D[FL/145/215/334]
133,D,1,                      ,D[FL/219/215/334]
134,D,0,                      ,D[FL/216/215/334]
135,D,1,                      ,D[AR/116/215/334]
136,D,0,                      ,D[FL/253/215/334]
137,P,1,P[ -13/  42/ 236/  35],             
138,P,1,P[  -8/   2/ 297/  -8],             
139,D,1,                      ,D[FL/113/214/334]
140,D,1,                      ,D[FL/ 34/214/334]
141,D,1,                      ,D[AR/107/213/334]
142,D,0,                      ,D[IM/103/212/334]
143,D,0,                      ,D[FL/217/212/334]
144,P,0,P[  -4/  19/  94/  16],             
145,D,1,                      ,D[FL/219/212/334]
146,P,1,P[ -26/  20/ 249/ -20],             
147,P,0,P[  -5/   8/ 183/   6],             
148,P,0,P[  -3/  17/ 256/   1],             
149,D,0,                      ,D[FL/251/212/334]
150,D,1,                      ,D[AR/ 53/212/334]
151,D,0,                      ,D[AR/  7/212/334]
152,P,0,P[ -34/  35/  42/ -27],             
153,P,0,P[ -11/   2/ 203/  -8],             
154,P,0,P[  -2/   2/ 150/  -2],             
155,P,0,P[  -2/   6/  74/  -1],             
156,P,0,P[  -2/   5/ 109/   4],             
157,P,0,P[  -5/   0/ 232/  -5],             
158,D,1,                      ,D[AR/131/212/334]
159,P,0,P[  -2/   9/ 225/  -2],             
160,D,0,                      ,D[FL/143/212/334]
161,D,0,                      ,D[AR/135/212/334]
162,P,0,P[  -1/   1/ 248/  -1],             
163,D,1,                      ,D[FL/184/212/334]
164,D,1,                      ,D[AR/105/212/334]
165,P,0,P[  -2/   9/ 225/   8],             
166,P,0,P[  -1/   2/ 250/   1],             
167,P,1,P[  -3/   0/ 129/  -3],             
168,P,0,P[  -1/   7/ 266/  -1],             
169,D,1,                      ,D[AR/135/212/334]
170,P,1,P[ -19/   1/ 114/ -19],             
171,P,1,P[  -1/  16/ 172/  -1],             
172,D,0,                      ,D[FL/127/213/334]
173,D,0,                      ,D[AR/ 93/213/334]
174,P,0,P[  -4/ 147/ 106/  14],             
175,D,1,                      ,D[AR/  6/213/334]
176,P,1,P[  -6/  21/  90/  20],             
177,D,1,                      ,D[AR/ 40/213/334]
178,P,1,P[  -2/  16/ 123/  14],             
179,D,0,                      ,D[FL/258/214/334]
180,P,1,P[ -48/   7/ 271/   3],             
181,P,0,P[ -11/   2/ 182/   1],             
182,D,0,                      ,D[AR/224/213/334]
183,P,0,P[ -21/   0/ 271/ -21],             
184,P,0,P[ -38/  41/  38/  29],             
185,D,1,                      ,D[FL/ 74/213/334]
186,P,0,P[  -4/   1/ 163/  -4],             
187,P,1,P[  -9/   4/  63/   2],             
188,P,0,P[   0/   6/ 321/   1],             
189,D,1,                      ,D[IM/209/212/334]
190,P,0,P[   0/  10/ 289/   9],             
191,D,0,                      ,D[FL/238/212/334]
192,P,1,P[ -26/   1/ 110/ -24],             
193,D,1,                      ,D[FL/ 33/212/334]
194,D,0,                      ,D[FL/214/212/334]
195,P,0,P[ -19/  50/  19/  48],             
196,D,1,                      ,D[FL/216/212/334]
197,D,0,                      ,D[FL/120/212/334]
198,D,1,                      ,D[FL/169/212/334]
199,P,0,P[  -8/   2/ 251/  -7],             
