evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -3/   3/ 205/  -2],             
2,D,0,                      ,D[AR/151/224/334]
3,P,1,P[  -2/   7/ 266/   6],             
4,D,1,                      ,D[IM/ 11/223/334]
5,P,0,P[  -1/   0/ 258/  -1],             
6,D,0,                      ,D[FL/ 31/223/334]
7,D,0,                      ,D[AR/296/223/334]
8,D,0,                      ,D[AR/ 94/223/334]
9,D,0,                      ,D[AR/243/223/334]
10,P,0,P[ -47/   0/  67/  -1],             
11,D,1,                      ,D[FL/  8/223/334]
12,D,0,                      ,D[FL/214/221/334]
13,P,0,P[  -6/   1/ 162/  -5],             
14,P,0,P[  -3/   2/ 244/  -3],             
15,P,1,P[  -2/   1/ 232/  -2],             
16,P,1,P[  -2/   2/  74/  -2],             
17,P,1,P[  -1/ 198/ 116/ 192],             
18,P,0,P[  -3/  38/   3/   1],             
19,D,0,                      ,D[FL/191/221/334]
20,P,1,P[ -10/   5/ 226/   4],             
21,D,1,                      ,D[AR/177/219/334]
22,D,1,                      ,D[AR/ 27/219/334]
23,P,1,P[ -11/   1/ 200/  -1],             
24,D,1,                      ,D[AR/ 43/220/334]
25,P,0,P[ -14/  30/  38/  24],             
26,D,0,                      ,D[AR/ 83/220/334]
27,P,0,P[  -1/   4/ 212/   3],             
28,P,0,P[  -3/   3/ 288/  -2],             
29,D,0,                      ,D[FL/308/220/334]
30,P,0,P[  -3/   2/ 201/   1],             
31,D,1,                      ,D[AR/ 56/220/334]
32,D,0,                      ,D[FL/304/220/334]
33,D,1,                      ,D[IM/139/220/334]
34,P,0,P[  -5/   0/ 313/  -5],             
35,P,0,P[ -35/  36/  42/  24],             
36,P,0,P[ -18/  85/  18/ -17],             
37,D,0,                      ,D[AR/ 37/220/334]
38,P,1,P[  -2/   2/ 301/  -2],             
39,P,1,P[  -4/  23/ 173/  -2],             
40,P,0,P[ -14/   0/ 141/ -11],             
41,P,1,P[  -2/  15/ 254/  13],             
42,D,0,                      ,D[FL/194/217/334]
43,P,1,P[  -3/   1/ 148/  -3],             
44,P,1,P[ -10/   1/ 266/ -10],             
45,D,0,                      ,D[AR/202/216/334]
46,D,1,                      ,D[AR/ 24/216/334]
47,P,1,P[ -11/   5/ 115/  -9],             
48,D,1,                      ,D[AR/177/216/334]
49,P,0,P[  -4/   8/ 262/  -3],             
50,D,0,                      ,D[AR/ 85/216/334]
51,D,0,                      ,D[IM/141/216/334]
52,P,1,P[  -2/   0/ 257/  -2],             
53,D,1,                      ,D[FL/263/216/334]
54,P,1,P[  -5/ 103/ 127/  95],             
55,P,1,P[  -1/   1/ 197/  -1],             
56,P,0,P[ -62/  13/  62/ -56],             
57,D,0,                      ,D[FL/ 33/217/334]
58,P,0,P[  -3/   1/ 272/  -3],             
59,D,0,                      ,D[IM/116/217/334]
60,P,0,P[  -9/   0/ 212/  -9],             
61,D,1,                      ,D[FL/141/217/334]
62,P,1,P[  -5/  99/   5/  95],             
63,D,0,                      ,D[FL/276/215/334]
64,D,0,                      ,D[FL/120/215/334]
65,D,1,                      ,D[AR/  2/215/334]
66,P,1,P[  -2/   7/ 323/   6],             
67,P,1,P[  -1/   2/ 293/   1],             
68,P,1,P[   0/  82/   0/  67],             
69,D,1,                      ,D[FL/214/213/334]
