evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,0,                      ,D[FL/281/222/334]
2,D,1,                      ,D[FL/169/222/334]
3,P,1,P[  -5/  33/ 205/   2],             
4,D,1,                      ,D[AR/140/222/334]
5,D,1,                      ,D[AR/292/222/334]
6,D,0,                      ,D[IM/ 11/219/334]
7,P,1,P[  -1/  35/ 258/  34],             
8,D,0,                      ,D[FL/286/220/334]
9,D,0,                      ,D[FL/ 90/220/334]
10,D,1,                      ,D[AR/233/220/334]
11,D,0,                      ,D[AR/116/220/334]
12,P,1,P[  -2/   2/ 252/  -2],             
13,D,1,                      ,D[FL/260/220/334]
14,D,0,                      ,D[AR/129/220/334]
15,P,1,P[ -50/  28/  50/  24],             
16,D,0,                      ,D[AR/ 41/218/334]
17,P,1,P[ -23/   2/  60/ -22],             
18,D,1,                      ,D[AR/ 12/220/334]
19,D,0,                      ,D[FL/ 91/220/334]
20,P,0,P[  -3/   4/  26/   3],             
21,D,1,                      ,D[FL/137/220/334]
22,D,1,                      ,D[FL/ 52/220/334]
23,D,0,                      ,D[FL/276/219/334]
24,D,0,                      ,D[FL/216/219/334]
25,P,0,P[ -12/   1/ 267/ -11],             
26,P,1,P[  -3/   0/ 319/  -1],             
27,P,0,P[  -1/  24/  38/  20],             
28,D,0,                      ,D[FL/ 76/219/334]
29,P,0,P[  -2/   8/ 212/   7],             
30,P,0,P[   0/   7/ 288/   1],             
31,D,0,                      ,D[FL/305/219/334]
32,P,1,P[  -2/   8/ 201/  -2],             
33,D,1,                      ,D[FL/ 58/218/334]
34,P,0,P[  -5/   0/ 260/  -5],             
35,P,0,P[   0/  10/ 283/   8],             
36,P,1,P[  -3/   2/ 302/  -3],             
37,D,1,                      ,D[AR/ 39/218/334]
38,P,1,P[ -23/   2/  83/ -22],             
39,D,1,                      ,D[AR/ 12/218/334]
40,P,0,P[ -17/   2/ 220/  -2],             
41,D,0,                      ,D[FL/ 30/218/334]
42,P,0,P[  -6/  34/ 123/  29],             
43,D,1,                      ,D[FL/ 25/218/334]
44,P,0,P[ -14/   8/ 266/ -12],             
45,P,0,P[  -4/   2/ 148/  -4],             
46,P,0,P[ -14/   8/ 266/ -14],             
47,D,0,                      ,D[FL/194/219/334]
48,P,1,P[ -17/  76/  17/  69],             
49,P,1,P[ -10/  17/ 182/  15],             
50,D,0,                      ,D[FL/103/218/334]
51,P,0,P[  -3/   5/ 297/  -3],             
52,P,0,P[  -2/  29/ 257/  27],             
53,D,0,                      ,D[FL/262/218/334]
54,P,1,P[ -10/   7/ 127/   5],             
55,P,0,P[ -25/   2/ 197/ -23],             
56,P,0,P[ -62/   1/  62/ -57],             
57,D,1,                      ,D[FL/ 33/217/334]
58,D,0,                      ,D[AR/161/217/334]
59,D,1,                      ,D[AR/161/217/334]
60,D,1,                      ,D[IM/253/217/334]
61,P,1,P[  -5/   1/ 326/  -5],             
62,P,1,P[  -2/   8/ 212/  -1],             
63,D,0,                      ,D[AR/134/217/334]
64,P,1,P[ -26/  29/  26/ -17],             
65,D,1,                      ,D[FL/217/217/334]
66,D,0,                      ,D[FL/228/217/334]
67,D,1,                      ,D[AR/109/217/334]
68,D,0,                      ,D[AR/  2/215/334]
69,P,0,P[  -2/   0/ 323/  -2],             
70,P,0,P[   0/   5/ 299/   4],             
71,D,1,                      ,D[IM/186/215/334]
72,P,0,P[   0/  59/   0/  48],             
73,D,1,                      ,D[IM/214/215/334]
74,P,0,P[ -22/   0/ 274/ -21],             
75,P,0,P[ -12/   7/ 129/ -11],             
76,D,1,                      ,D[AR/273/215/334]
77,P,0,P[  -9/  46/   9/  -9],             
78,D,0,                      ,D[FL/ 34/215/334]
79,D,1,                      ,D[AR/  4/215/334]
80,D,0,                      ,D[IM/ 91/215/334]
81,P,0,P[  -1/   3/ 105/   2],             
82,P,0,P[ -39/   9/  39/   7],             
83,P,0,P[ -11/   0/ 127/  -1],             
84,P,1,P[  -7/   7/ 100/  -7],             
85,P,0,P[ -31/  73/  31/ -29],             
86,D,0,                      ,D[AR/ 27/215/334]
87,D,0,                      ,D[FL/113/215/334]
88,D,1,                      ,D[AR/184/215/334]
89,P,0,P[  -7/  54/  34/  52],             
90,D,0,                      ,D[FL/286/215/334]
91,D,0,                      ,D[FL/ 47/215/334]
92,D,0,                      ,D[FL/213/215/334]
93,D,1,                      ,D[FL/205/215/334]
94,D,1,                      ,D[AR/103/215/334]
95,P,0,P[  -2/   5/ 185/   4],             
96,P,1,P[  -2/  10/ 146/  -2],             
97,D,1,                      ,D[AR/ 88/216/334]
98,D,1,                      ,D[AR/141/216/334]
99,P,1,P[  -1/  10/ 157/  -1],             
100,P,0,P[  -9/  32/ 218/  -4],             
101,D,1,                      ,D[FL/281/216/334]
102,D,1,                      ,D[FL/264/216/334]
103,D,1,                      ,D[AR/227/217/334]
104,P,0,P[  -2/   2/  72/  -2],             
105,D,1,                      ,D[FL/216/217/334]
106,D,1,                      ,D[AR/ 77/218/334]
107,P,0,P[  -3/   9/  71/   8],             
108,P,1,P[ -20/   1/ 112/ -20],             
109,P,0,P[ -29/  33/  29/ -22],             
110,D,1,                      ,D[AR/270/219/334]
111,D,1,                      ,D[AR/ 26/219/334]
112,P,1,P[ -52/  50/  52/ -33],             
113,D,0,                      ,D[FL/ 55/219/334]
114,D,0,                      ,D[FL/ 98/219/334]
115,D,0,                      ,D[AR/  2/219/334]
116,D,1,                      ,D[AR/302/219/334]
117,D,0,                      ,D[FL/255/219/334]
118,D,0,                      ,D[AR/292/219/334]
119,D,1,                      ,D[AR/ 71/219/334]
120,D,0,                      ,D[AR/ 84/219/334]
121,P,0,P[ -57/  20/  57/ -57],             
122,P,0,P[  -4/   7/ 325/   5],             
123,D,0,                      ,D[FL/264/219/334]
124,D,0,                      ,D[AR/  2/219/334]
125,D,0,                      ,D[FL/308/219/334]
126,D,0,                      ,D[AR/181/219/334]
127,D,0,                      ,D[IM/265/219/334]
128,P,0,P[ -13/   1/ 293/ -13],             
129,D,0,                      ,D[FL/297/219/334]
130,P,0,P[  -4/   1/ 231/  -4],             
131,P,0,P[  -5/   0/ 260/  -5],             
132,P,0,P[  -1/   2/ 236/   1],             
133,P,0,P[  -3/   5/ 297/  -3],             
134,D,1,                      ,D[IM/102/219/334]
135,P,1,P[  -2/   1/ 318/  -2],             
136,P,0,P[  -3/   0/ 317/  -3],             
137,P,0,P[   0/  14/  94/  13],             
138,D,1,                      ,D[AR/221/219/334]
139,P,0,P[  -1/   0/ 249/  -1],             
140,P,0,P[  -5/  22/ 122/  -2],             
141,D,1,                      ,D[AR/170/219/334]
142,P,1,P[  -2/  32/ 256/   4],             
143,D,0,                      ,D[IM/253/218/334]
144,P,0,P[  -2/   3/ 229/   2],             
145,P,0,P[ -86/   9/  86/ -64],             
146,P,0,P[  -1/   3/ 206/  -1],             
147,P,0,P[  -7/   4/ 145/  -6],             
148,D,0,                      ,D[FL/ 33/218/334]
149,P,0,P[ -74/   4/  74/ -61],             
150,P,0,P[ -14/ 123/ 109/ 107],             
151,P,0,P[  -7/   2/ 232/  -7],             
152,D,1,                      ,D[FL/124/218/334]
153,P,1,P[  -7/   1/ 333/  -7],             
154,P,0,P[ -86/   9/  86/ -81],             
155,D,0,                      ,D[FL/231/217/334]
156,P,0,P[ -74/   4/  74/ -59],             
157,D,0,                      ,D[FL/219/217/334]
158,D,1,                      ,D[AR/ 23/217/334]
159,P,0,P[  -4/   2/ 196/  -4],             
160,P,0,P[  -4/   2/ 196/  -4],             
161,D,0,                      ,D[FL/217/217/334]
162,D,1,                      ,D[AR/131/217/334]
163,P,0,P[ -16/  19/ 114/ -16],             
164,P,0,P[  -6/  66/ 215/   3],             
165,P,0,P[  -4/   3/  61/  -4],             
166,P,0,P[  -2/  21/ 219/   3],             
167,P,1,P[  -2/   3/ 305/  -2],             
168,P,0,P[  -2/  89/ 113/   9],             
169,D,0,                      ,D[AR/204/216/334]
170,D,1,                      ,D[AR/ 59/216/334]
171,D,0,                      ,D[AR/249/215/334]
172,D,0,                      ,D[FL/ 67/215/334]
173,D,0,                      ,D[FL/265/215/334]
174,D,0,                      ,D[FL/235/215/334]
175,D,1,                      ,D[AR/ 85/215/334]
176,D,0,                      ,D[AR/209/215/334]
177,P,1,P[  -7/   3/  98/   2],             
178,P,0,P[  -8/  47/   8/  45],             
179,P,0,P[ -35/   0/  82/  -6],             
180,P,0,P[  -2/  15/  80/  14],             
181,D,0,                      ,D[AR/276/215/334]
182,D,1,                      ,D[AR/ 26/215/334]
183,P,1,P[   0/   5/ 305/   4],             
184,P,1,P[  -3/   2/ 110/  -3],             
185,D,0,                      ,D[IM/ 36/214/334]
186,D,0,                      ,D[FL/205/214/334]
187,P,1,P[ -19/  83/  19/  80],             
188,D,0,                      ,D[FL/219/212/334]
189,D,1,                      ,D[AR/116/212/334]
190,D,0,                      ,D[FL/ 45/212/334]
191,D,0,                      ,D[AR/105/212/334]
192,D,1,                      ,D[AR/250/212/334]
193,P,1,P[  -8/ 168/ 133/ 167],             
194,D,0,                      ,D[FL/194/212/334]
195,D,0,                      ,D[FL/166/212/334]
196,P,0,P[  -4/  13/ 175/  -2],             
197,D,0,                      ,D[AR/204/212/334]
198,P,0,P[  -6/   0/ 288/  -6],             
199,P,1,P[ -52/  21/  52/  20],             
