evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[ -54/  24/  54/ -52],             
2,P,1,P[  -3/   2/ 188/  -3],             
3,D,1,                      ,D[AR/176/203/334]
4,D,1,                      ,D[AR/ 93/203/334]
5,D,1,                      ,D[AR/130/203/334]
6,D,0,                      ,D[AR/230/203/334]
7,P,0,P[ -17/   4/ 202/ -16],             
8,P,1,P[  -1/  15/ 175/  -1],             
9,D,1,                      ,D[AR/ 42/204/334]
10,D,0,                      ,D[AR/ 89/204/334]
11,P,0,P[   0/  32/ 206/  29],             
12,D,1,                      ,D[IM/ 52/204/334]
13,D,0,                      ,D[AR/231/204/334]
14,D,1,                      ,D[FL/ 79/204/334]
15,P,0,P[ -16/   0/ 255/ -14],             
16,D,1,                      ,D[AR/289/203/334]
17,P,0,P[  -1/  36/ 110/   1],             
18,P,0,P[   0/  10/ 218/   8],             
19,D,0,                      ,D[AR/177/203/334]
20,P,1,P[  -1/   6/ 235/  -1],             
21,P,0,P[ -36/  58/  36/  57],             
22,D,1,                      ,D[KK/274/203/334]
23,D,1,                      ,D[FL/307/203/334]
24,D,1,                      ,D[AR/ 43/201/334]
25,D,0,                      ,D[AR/ 41/201/334]
26,D,0,                      ,D[FL/ 22/201/334]
27,P,1,P[  -2/   4/ 235/  -2],             
28,D,1,                      ,D[IM/100/201/334]
29,P,1,P[   0/   5/ 102/   4],             
30,D,0,                      ,D[FL/170/202/334]
31,P,1,P[  -2/   0/ 210/  -2],             
32,P,0,P[  -3/   1/ 287/  -3],             
33,D,0,                      ,D[AR/277/202/334]
34,P,1,P[  -1/  36/ 110/   4],             
35,P,0,P[  -7/   0/ 241/  -7],             
36,D,1,                      ,D[AR/ 40/201/334]
37,D,1,                      ,D[AR/175/201/334]
38,P,1,P[ -37/  44/  37/ -28],             
39,P,0,P[  -3/  22/ 136/  -3],             
40,P,1,P[  -3/  12/  88/  11],             
41,P,1,P[ -11/   0/ 120/ -10],             
42,P,1,P[  -5/   0/ 276/  -5],             
43,D,1,                      ,D[AR/105/201/334]
44,P,1,P[  -7/  78/   7/  77],             
45,D,0,                      ,D[FL/136/200/334]
46,P,0,P[ -15/  42/  79/  38],             
47,P,0,P[ -11/   3/ 284/ -11],             
48,P,0,P[   0/   9/ 286/   7],             
49,D,0,                      ,D[FL/138/200/334]
50,D,0,                      ,D[FL/127/200/334]
51,P,1,P[  -5/  11/ 253/  -5],             
52,P,0,P[  -2/   1/  55/  -2],             
53,P,0,P[  -5/   0/ 191/  -1],             
54,P,1,P[  -4/   4/ 300/   3],             
55,P,1,P[  -5/   5/ 189/  -4],             
56,P,0,P[   0/   7/ 295/   6],             
57,P,0,P[ -39/  10/  39/   5],             
58,D,0,                      ,D[FL/281/198/334]
59,D,0,                      ,D[AR/271/198/334]
