evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[ -29/   5/  54/ -28],             
2,P,1,P[ -12/   2/ 188/ -12],             
3,D,1,                      ,D[AR/179/221/334]
4,D,1,                      ,D[FL/101/221/334]
5,P,1,P[  -3/   1/  67/  -3],             
6,D,1,                      ,D[FL/237/219/334]
7,P,1,P[  -7/   0/ 117/  -1],             
8,P,1,P[  -5/   7/ 202/  -4],             
9,P,0,P[  -3/   0/ 175/  -1],             
10,D,0,                      ,D[AR/ 49/216/334]
11,P,1,P[  -1/   1/  94/  -1],             
12,P,0,P[  -5/   0/ 206/  -1],             
13,D,1,                      ,D[AR/ 59/217/334]
14,D,1,                      ,D[AR/158/217/334]
15,D,0,                      ,D[FL/ 90/219/334]
16,D,1,                      ,D[AR/ 85/219/334]
17,P,0,P[  -2/   7/ 255/  -1],             
18,D,1,                      ,D[AR/294/219/334]
19,P,1,P[  -2/   0/ 264/  -2],             
20,D,0,                      ,D[AR/ 39/221/334]
21,P,0,P[  -1/   3/ 118/  -1],             
22,D,1,                      ,D[FL/171/221/334]
23,P,1,P[  -1/   9/  67/   8],             
24,P,1,P[  -1/   0/ 204/  -1],             
25,D,0,                      ,D[AR/  0/220/334]
26,D,0,                      ,D[FL/306/220/334]
27,D,0,                      ,D[FL/ 51/220/334]
28,D,0,                      ,D[FL/ 47/220/334]
29,D,0,                      ,D[AR/ 27/220/334]
30,D,0,                      ,D[AR/267/220/334]
31,P,0,P[  -8/   2/ 332/   1],             
32,P,0,P[  -5/   0/ 159/  -1],             
33,D,1,                      ,D[IM/ 99/220/334]
34,D,0,                      ,D[AR/  6/220/334]
35,P,0,P[   0/  11/ 287/   9],             
36,D,1,                      ,D[FL/283/220/334]
37,P,1,P[  -3/   3/ 304/  -3],             
38,P,1,P[  -3/  23/ 146/  -3],             
39,D,0,                      ,D[IM/ 46/215/334]
40,D,0,                      ,D[FL/ 93/215/334]
41,D,1,                      ,D[AR/ 42/215/334]
42,D,0,                      ,D[AR/178/215/334]
43,P,0,P[  -4/  12/ 190/  -2],             
44,P,0,P[  -5/  10/ 106/   8],             
45,P,1,P[  -2/   0/ 286/  -2],             
46,D,0,                      ,D[AR/  2/215/334]
47,D,0,                      ,D[FL/ 81/215/334]
48,D,0,                      ,D[AR/ 65/215/334]
49,P,0,P[ -10/  13/ 120/  -8],             
50,P,1,P[  -7/   9/ 276/  -4],             
51,D,0,                      ,D[AR/109/213/334]
52,P,0,P[  -7/  79/   7/  -7],             
53,D,0,                      ,D[AR/138/213/334]
54,D,1,                      ,D[FL/ 24/213/334]
55,D,1,                      ,D[FL/297/212/334]
56,P,0,P[  -4/   4/ 167/  -4],             
57,P,1,P[   0/  21/ 219/  18],             
58,D,0,                      ,D[AR/268/211/334]
59,P,1,P[ -10/   5/ 117/  -7],             
60,P,1,P[  -9/   2/ 123/  -9],             
61,P,0,P[ -41/   7/  41/ -39],             
62,P,0,P[  -1/   6/ 140/   5],             
63,D,1,                      ,D[IM/ 70/210/334]
64,D,0,                      ,D[AR/126/210/334]
65,D,1,                      ,D[FL/120/210/334]
66,D,1,                      ,D[FL/ 69/208/334]
67,P,0,P[ -17/   0/ 248/ -17],             
68,P,0,P[  -8/  40/ 178/  -6],             
69,P,0,P[ -14/  69/  14/  -7],             
70,P,1,P[ -10/  12/  10/  -9],             
71,P,1,P[  -3/   0/ 208/  -1],             
72,P,0,P[ -34/  24/  34/  14],             
73,P,0,P[ -11/   9/  65/  -9],             
74,P,0,P[  -4/   7/ 266/  -4],             
75,D,0,                      ,D[AR/175/209/334]
76,P,0,P[  -3/   0/ 175/  -3],             
