evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -4/   0/ 188/  -4],             
2,D,0,                      ,D[AR/184/207/334]
3,P,0,P[  -2/  60/  64/  56],             
4,P,1,P[  -5/   1/ 226/  -5],             
5,D,1,                      ,D[FL/171/207/334]
6,P,1,P[  -2/   7/ 175/   6],             
7,D,1,                      ,D[AR/ 43/207/334]
8,D,0,                      ,D[AR/ 94/207/334]
9,P,0,P[  -3/   0/  98/  -3],             
10,D,0,                      ,D[FL/235/207/334]
11,P,0,P[  -6/   0/ 234/  -6],             
12,P,0,P[  -9/   3/ 330/  -7],             
13,D,0,                      ,D[FL/145/207/334]
14,P,0,P[  -4/   1/ 231/  -4],             
15,D,0,                      ,D[IM/283/207/334]
16,D,0,                      ,D[FL/218/207/334]
17,P,1,P[  -4/   5/ 118/  -4],             
18,D,0,                      ,D[FL/113/207/334]
19,D,0,                      ,D[FL/ 79/207/334]
20,D,0,                      ,D[AR/178/207/334]
21,D,1,                      ,D[FL/121/207/334]
22,D,0,                      ,D[IM/168/205/334]
23,P,1,P[ -36/  17/  36/  16],             
24,D,1,                      ,D[FL/276/206/334]
25,D,1,                      ,D[IM/309/204/334]
26,D,1,                      ,D[AR/ 49/204/334]
27,P,1,P[   0/  18/ 235/  17],             
28,D,0,                      ,D[FL/114/205/334]
29,P,0,P[ -12/  37/ 159/  36],             
30,D,1,                      ,D[FL/ 97/205/334]
31,D,0,                      ,D[FL/298/204/334]
32,P,1,P[ -36/   6/  36/ -34],             
33,P,0,P[  -4/  15/ 248/  -4],             
34,D,1,                      ,D[AR/138/204/334]
35,P,0,P[ -36/  38/  36/  34],             
36,P,1,P[  -1/  17/ 241/  -1],             
37,D,1,                      ,D[AR/ 40/204/334]
38,D,0,                      ,D[FL/185/204/334]
39,D,0,                      ,D[AR/ 83/204/334]
40,D,1,                      ,D[FL/ 31/204/334]
41,P,0,P[ -28/  18/  28/ -28],             
