evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,1,                      ,D[IM/287/223/334]
2,D,0,                      ,D[IM/307/223/334]
3,D,0,                      ,D[AR/ 88/223/334]
4,P,1,P[  -6/  11/  67/  -5],             
5,D,0,                      ,D[AR/243/215/334]
6,P,1,P[ -14/   8/ 117/ -14],             
7,P,0,P[   0/  12/ 202/   1],             
8,P,1,P[ -28/   9/ 175/   7],             
9,D,1,                      ,D[AR/ 41/214/334]
10,D,1,                      ,D[AR/ 85/214/334]
11,P,1,P[  -2/   0/ 226/  -2],             
12,D,1,                      ,D[FL/ 74/214/334]
13,D,0,                      ,D[AR/232/213/334]
14,D,1,                      ,D[AR/247/213/334]
15,P,0,P[  -9/   3/ 330/  -7],             
16,D,1,                      ,D[AR/139/211/334]
17,D,0,                      ,D[FL/297/211/334]
18,P,1,P[  -1/   0/ 231/  -1],             
19,P,1,P[  -9/   2/ 118/  -9],             
20,D,0,                      ,D[FL/ 98/211/334]
21,P,1,P[  -4/   6/ 328/  -3],             
22,P,0,P[  -5/   4/ 235/  -5],             
23,P,1,P[ -15/   8/  36/   7],             
24,D,0,                      ,D[FL/274/211/334]
25,P,0,P[  -8/   0/ 233/  -8],             
26,P,1,P[  -5/  14/  55/  13],             
27,P,0,P[  -5/   4/ 235/   3],             
28,D,1,                      ,D[AR/ 99/211/334]
29,P,1,P[  -1/   6/ 159/   5],             
30,D,0,                      ,D[AR/ 87/209/334]
31,D,0,                      ,D[FL/297/209/334]
32,P,0,P[ -36/  44/  36/ -32],             
33,P,0,P[  -4/  14/ 248/  -3],             
34,D,0,                      ,D[AR/131/209/334]
35,P,1,P[  -7/   6/  98/   4],             
36,P,0,P[  -3/   0/ 317/  -1],             
37,P,0,P[  -4/   0/ 311/  -4],             
38,D,0,                      ,D[FL/ 72/207/334]
39,P,1,P[  -3/   0/ 106/  -1],             
40,P,0,P[  -4/  14/ 249/  -4],             
41,D,0,                      ,D[FL/136/207/334]
42,D,1,                      ,D[IM/287/207/334]
43,P,0,P[  -2/   0/ 259/  -2],             
44,P,0,P[  -4/  18/ 110/  -4],             
45,P,0,P[  -2/   0/ 206/  -2],             
46,P,0,P[  -7/  77/   7/  -7],             
47,D,1,                      ,D[AR/139/207/334]
48,P,1,P[  -1/  30/ 268/   5],             
49,D,0,                      ,D[FL/301/207/334]
50,P,0,P[  -7/   0/ 286/  -1],             
51,D,1,                      ,D[FL/144/207/334]
52,D,1,                      ,D[AR/197/205/334]
53,P,1,P[ -38/  13/  38/  10],             
54,P,1,P[ -11/  21/ 117/  -3],             
55,P,0,P[  -6/   4/ 123/  -6],             
56,P,0,P[ -41/  95/  41/ -35],             
57,P,0,P[  -5/   0/ 290/  -5],             
58,D,1,                      ,D[AR/129/205/334]
59,P,0,P[  -1/   4/ 295/   3],             
60,P,0,P[ -39/  52/  39/  43],             
61,D,1,                      ,D[FL/288/205/334]
62,D,0,                      ,D[FL/274/205/334]
63,D,0,                      ,D[FL/ 55/205/334]
64,D,1,                      ,D[AR/105/205/334]
65,P,1,P[  -7/  23/ 178/  -6],             
66,P,1,P[ -14/  57/  14/  -8],             
67,P,1,P[ -10/ 110/  10/  -6],             
