evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,0,                      ,D[FL/182/222/334]
2,D,1,                      ,D[AR/232/222/334]
3,P,1,P[  -3/   6/ 272/  -3],             
4,D,0,                      ,D[AR/132/215/334]
5,P,0,P[  -6/  10/ 226/  -5],             
6,D,1,                      ,D[AR/152/215/334]
7,D,0,                      ,D[AR/  5/214/334]
8,D,1,                      ,D[AR/225/214/334]
9,D,1,                      ,D[AR/180/214/334]
10,P,1,P[ -10/  30/ 180/  -9],             
11,D,0,                      ,D[AR/  4/214/334]
12,P,1,P[   0/   7/ 206/   6],             
13,D,0,                      ,D[IM/ 54/214/334]
14,D,1,                      ,D[AR/231/214/334]
15,P,1,P[  -6/   2/ 156/  -5],             
16,P,1,P[  -3/   1/ 264/  -3],             
17,D,1,                      ,D[FL/ 36/212/334]
18,P,0,P[  -1/   1/ 232/  -1],             
19,D,1,                      ,D[FL/ 71/212/334]
20,D,0,                      ,D[FL/168/211/334]
21,P,0,P[  -6/  18/ 176/  17],             
22,P,0,P[  -4/   0/ 299/  -4],             
23,D,0,                      ,D[AR/151/211/334]
24,P,0,P[ -11/   1/ 287/  -1],             
25,P,1,P[  -4/  23/ 113/  21],             
26,P,1,P[  -3/   2/ 332/   1],             
27,P,1,P[  -7/   3/ 159/  -7],             
28,D,1,                      ,D[AR/ 88/209/334]
29,D,1,                      ,D[AR/289/209/334]
30,P,0,P[ -36/  14/  36/ -34],             
31,P,1,P[  -5/  30/ 248/  -4],             
32,D,0,                      ,D[FL/124/208/334]
33,P,1,P[  -1/   8/  79/   7],             
34,D,0,                      ,D[IM/286/209/334]
35,P,0,P[ -11/   5/ 255/   2],             
36,D,0,                      ,D[IM/ 78/209/334]
37,P,0,P[ -37/  12/  37/ -32],             
38,P,0,P[  -8/ 135/ 136/  -3],             
39,P,0,P[ -10/   4/ 154/   3],             
40,P,0,P[ -16/   5/ 259/ -13],             
41,P,1,P[  -4/   1/ 167/  -4],             
42,P,0,P[  -1/   2/ 110/   1],             
43,P,1,P[  -1/  38/ 171/   4],             
44,P,0,P[  -4/   2/ 159/  -4],             
45,D,0,                      ,D[FL/ 22/209/334]
46,P,0,P[  -8/  14/ 284/  -7],             
47,P,0,P[  -7/   1/  50/  -1],             
48,P,0,P[  -6/   1/ 212/  -6],             
49,P,0,P[  -1/   3/ 253/  -1],             
50,P,0,P[  -6/   9/   6/  -5],             
51,P,0,P[ -55/  19/  55/ -50],             
52,P,1,P[  -6/   0/ 140/  -6],             
53,D,1,                      ,D[AR/ 61/208/334]
54,D,0,                      ,D[FL/171/209/334]
55,P,0,P[  -3/ 102/   3/   1],             
56,D,0,                      ,D[AR/ 61/209/334]
57,P,1,P[ -19/  92/ 123/  86],             
58,D,1,                      ,D[FL/217/209/334]
59,D,1,                      ,D[FL/194/208/334]
60,D,1,                      ,D[FL/ 97/209/334]
61,P,1,P[  -9/   2/ 178/  -9],             
62,P,0,P[ -14/  32/  14/ -10],             
63,P,1,P[ -10/  72/  10/  -7],             
64,P,1,P[  -2/   8/ 203/  -2],             
65,D,0,                      ,D[FL/ 80/207/334]
66,D,1,                      ,D[AR/ 27/207/334]
67,P,0,P[  -1/   1/  93/  -1],             
68,P,1,P[ -34/  66/  34/  64],             
69,D,0,                      ,D[AR/197/205/334]
70,D,0,                      ,D[AR/ 84/205/334]
71,D,0,                      ,D[FL/ 48/205/334]
72,D,1,                      ,D[FL/228/205/334]
73,D,1,                      ,D[AR/  1/205/334]
74,P,0,P[  -1/  10/  58/   1],             
75,D,0,                      ,D[AR/  9/205/334]
76,D,0,                      ,D[FL/ 81/205/334]
77,P,0,P[  -5/  11/ 105/   9],             
78,P,1,P[  -8/   3/ 120/  -8],             
79,D,0,                      ,D[FL/ 55/206/334]
80,D,0,                      ,D[AR/152/206/334]
81,P,1,P[ -15/   1/ 227/ -13],             
82,D,1,                      ,D[FL/173/207/334]
83,D,1,                      ,D[FL/ 51/204/334]
84,P,0,P[ -13/  18/ 107/  16],             
85,P,0,P[  -9/ 135/ 136/ 124],             
86,D,0,                      ,D[AR/271/204/334]
87,D,1,                      ,D[AR/164/204/334]
88,D,1,                      ,D[AR/158/204/334]
89,D,0,                      ,D[FL/ 29/204/334]
90,P,0,P[  -8/  76/   8/  71],             
91,P,1,P[  -2/   1/ 305/  -2],             
92,D,0,                      ,D[FL/143/204/334]
93,P,0,P[ -65/   5/  65/  -2],             
94,P,0,P[  -1/   1/  51/  -1],             
95,D,0,                      ,D[FL/173/204/334]
96,P,0,P[ -45/  15/  45/ -44],             
97,D,0,                      ,D[FL/304/204/334]
98,D,0,                      ,D[IM/ 71/204/334]
99,D,0,                      ,D[AR/152/204/334]
100,D,1,                      ,D[FL/ 67/204/334]
101,D,0,                      ,D[AR/ 15/203/334]
102,D,0,                      ,D[FL/ 58/203/334]
103,P,0,P[  -4/  16/ 238/  -3],             
104,D,0,                      ,D[FL/ 80/203/334]
105,P,0,P[  -1/   8/ 106/   7],             
106,P,0,P[ -28/   5/  46/   2],             
107,D,0,                      ,D[FL/161/203/334]
108,P,1,P[   0/  24/ 272/  19],             
109,D,0,                      ,D[AR/155/204/334]
110,D,0,                      ,D[FL/ 48/204/334]
111,D,0,                      ,D[AR/178/204/334]
112,P,1,P[  -5/   7/  71/  -5],             
113,P,1,P[  -2/  25/ 145/  22],             
114,P,0,P[  -1/  11/ 323/  10],             
115,P,0,P[  -1/  21/ 239/   3],             
116,D,0,                      ,D[AR/271/201/334]
117,P,0,P[  -2/   8/ 223/   6],             
118,P,0,P[  -3/   0/ 307/  -1],             
119,D,0,                      ,D[FL/173/201/334]
120,P,0,P[  -1/  37/ 170/  29],             
121,P,0,P[ -13/  18/ 107/ -10],             
122,D,0,                      ,D[AR/152/201/334]
123,D,1,                      ,D[AR/ 39/201/334]
124,D,1,                      ,D[FL/147/201/334]
125,P,0,P[  -1/   0/ 256/  -1],             
126,P,0,P[ -11/   1/ 332/ -11],             
127,P,1,P[ -18/   9/ 126/ -18],             
128,P,0,P[ -15/  63/  15/  -3],             
129,D,0,                      ,D[FL/ 52/201/334]
130,D,0,                      ,D[FL/173/201/334]
131,P,0,P[  -3/   0/ 122/  -1],             
132,D,0,                      ,D[AR/ 86/201/334]
133,D,0,                      ,D[AR/ 64/201/334]
134,D,1,                      ,D[FL/104/201/334]
135,P,0,P[  -2/   2/ 211/  -2],             
136,D,0,                      ,D[AR/244/203/334]
137,P,0,P[  -2/   3/ 159/   2],             
138,P,0,P[  -4/   1/ 126/  -4],             
139,D,0,                      ,D[FL/ 51/203/334]
140,P,0,P[  -4/   9/ 125/   8],             
141,P,1,P[  -3/   1/ 191/  -2],             
142,D,1,                      ,D[IM/264/203/334]
143,D,0,                      ,D[AR/129/203/334]
144,D,0,                      ,D[AR/278/203/334]
145,P,1,P[ -11/   5/ 255/   1],             
146,D,1,                      ,D[AR/180/203/334]
147,P,0,P[ -19/   5/ 291/   4],             
148,P,0,P[ -47/  20/  47/  19],             
149,D,1,                      ,D[AR/112/203/334]
150,P,1,P[  -3/  15/ 217/  14],             
151,D,0,                      ,D[FL/205/202/334]
152,D,0,                      ,D[AR/227/202/334]
153,D,0,                      ,D[FL/261/202/334]
154,D,1,                      ,D[FL/168/202/334]
155,D,1,                      ,D[FL/ 68/200/334]
156,D,1,                      ,D[FL/ 54/199/334]
157,D,0,                      ,D[AR/186/199/334]
158,P,0,P[ -65/   0/  65/ -65],             
159,P,1,P[ -17/   1/ 231/ -17],             
160,P,0,P[  -3/   0/ 216/  -3],             
161,D,1,                      ,D[AR/ 20/198/334]
162,P,0,P[   0/  85/   0/  79],             
163,D,1,                      ,D[AR/222/198/334]
164,D,0,                      ,D[AR/ 89/198/334]
165,D,0,                      ,D[FL/ 23/198/334]
166,P,0,P[  -7/ 224/  83/ 182],             
167,P,1,P[  -7/   6/ 228/   5],             
168,P,1,P[  -3/   2/ 193/   1],             
169,D,0,                      ,D[AR/176/198/334]
170,D,0,                      ,D[FL/241/198/334]
171,P,0,P[  -3/   0/ 187/  -1],             
172,D,1,                      ,D[FL/189/198/334]
173,D,0,                      ,D[AR/ 83/197/334]
174,D,0,                      ,D[FL/ 30/197/334]
175,P,1,P[ -17/   1/ 290/ -16],             
176,P,0,P[ -14/  31/  14/ -13],             
177,D,1,                      ,D[FL/195/197/334]
178,P,0,P[  -9/  65/ 116/  -3],             
179,D,0,                      ,D[FL/ 24/198/334]
180,D,1,                      ,D[AR/271/198/334]
181,D,0,                      ,D[AR/105/198/334]
182,P,0,P[  -4/  13/ 114/  12],             
183,D,1,                      ,D[FL/184/198/334]
184,D,0,                      ,D[AR/292/197/334]
185,P,0,P[ -37/   8/ 180/   7],             
186,D,0,                      ,D[FL/ 54/197/334]
187,D,1,                      ,D[AR/ 85/197/334]
188,D,0,                      ,D[AR/ 64/197/334]
189,D,0,                      ,D[AR/255/197/334]
190,P,1,P[  -4/  10/ 179/  -2],             
191,D,1,                      ,D[AR/ 39/198/334]
192,P,0,P[  -1/  14/   1/  10],             
193,P,1,P[  -1/   5/ 140/  -1],             
194,D,0,                      ,D[AR/129/198/334]
195,D,0,                      ,D[IM/264/198/334]
196,P,0,P[  -8/   8/ 240/   6],             
