evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,0,                      ,D[AR/ 39/181/334]
2,D,0,                      ,D[FL/277/181/334]
3,D,1,                      ,D[AR/224/181/334]
4,P,0,P[ -14/   5/  73/ -14],             
5,D,0,                      ,D[AR/222/181/334]
6,D,1,                      ,D[AR/243/181/334]
7,D,0,                      ,D[FL/212/181/334]
8,D,1,                      ,D[AR/222/181/334]
9,P,0,P[  -2/   5/ 147/  -2],             
10,P,1,P[  -1/  30/  25/   5],             
11,D,1,                      ,D[FL/215/181/334]
12,P,0,P[  -1/   7/ 302/  -1],             
13,D,0,                      ,D[AR/222/181/334]
14,P,1,P[  -8/   2/ 183/   1],             
15,P,1,P[  -4/   0/ 311/  -4],             
16,P,0,P[  -1/   8/ 302/   7],             
17,D,0,                      ,D[AR/243/181/334]
18,P,1,P[  -3/   0/  49/  -1],             
19,D,0,                      ,D[FL/214/180/334]
20,P,0,P[ -17/   0/ 125/ -16],             
21,D,0,                      ,D[FL/256/180/334]
22,D,0,                      ,D[AR/185/180/334]
23,P,0,P[  -9/   4/ 143/  -9],             
24,D,1,                      ,D[AR/268/180/334]
25,P,0,P[  -5/  13/ 188/  11],             
26,D,0,                      ,D[AR/  3/180/334]
27,P,1,P[  -8/  25/  75/  -7],             
28,P,0,P[  -2/   7/ 201/   4],             
29,P,0,P[  -8/   0/ 255/  -8],             
30,D,0,                      ,D[FL/260/179/334]
31,P,0,P[  -3/   2/ 206/   1],             
32,P,1,P[ -13/   4/ 284/ -13],             
33,D,1,                      ,D[FL/193/179/334]
34,D,1,                      ,D[AR/130/178/334]
35,P,0,P[ -14/  44/  14/  40],             
36,P,0,P[ -18/   9/  54/   3],             
37,P,1,P[  -3/  14/  61/  -2],             
38,D,0,                      ,D[AR/290/178/334]
39,P,1,P[  -8/   0/ 255/  -8],             
40,P,0,P[ -15/   1/ 190/  -1],             
41,D,0,                      ,D[AR/ 20/179/334]
42,D,0,                      ,D[FL/214/179/334]
43,D,1,                      ,D[AR/ 89/179/334]
44,D,1,                      ,D[AR/185/179/334]
45,D,0,                      ,D[AR/272/179/334]
46,D,1,                      ,D[AR/233/179/334]
47,P,0,P[  -3/   9/ 324/  -1],             
48,P,0,P[   0/   5/ 140/   4],             
49,D,1,                      ,D[AR/178/179/334]
50,P,0,P[  -2/   7/ 201/   6],             
51,P,0,P[  -2/   9/ 130/   8],             
52,P,0,P[  -5/  31/   5/  27],             
53,D,1,                      ,D[AR/250/179/334]
54,P,0,P[  -1/  23/ 112/   3],             
55,D,1,                      ,D[AR/ 38/178/334]
56,D,1,                      ,D[FL/ 52/178/334]
57,D,0,                      ,D[AR/135/177/334]
58,D,1,                      ,D[AR/173/177/334]
59,D,0,                      ,D[FL/120/177/334]
60,P,0,P[  -9/  27/  64/  -8],             
61,D,0,                      ,D[FL/  8/177/334]
62,D,0,                      ,D[FL/145/177/334]
63,D,0,                      ,D[AR/141/177/334]
64,P,1,P[  -7/   0/ 299/  -7],             
65,P,0,P[  -2/  23/ 216/  -2],             
66,P,1,P[ -15/  60/  15/  58],             
67,D,0,                      ,D[FL/ 75/177/334]
68,P,1,P[ -48/   5/  48/   2],             
69,D,0,                      ,D[FL/236/177/334]
70,P,1,P[  -1/   0/  95/  -1],             
71,P,0,P[  -1/   6/ 289/   5],             
72,P,0,P[ -11/   0/ 155/ -10],             
73,P,0,P[  -5/   2/ 163/   1],             
74,D,0,                      ,D[FL/ 51/177/334]
75,D,0,                      ,D[AR/ 59/177/334]
76,P,1,P[  -7/  17/ 277/  -5],             
77,D,0,                      ,D[AR/134/177/334]
78,D,0,                      ,D[FL/ 80/177/334]
79,D,1,                      ,D[AR/130/177/334]
80,P,0,P[ -33/  30/  33/ -33],             
81,D,0,                      ,D[FL/193/177/334]
82,D,0,                      ,D[FL/196/177/334]
83,D,0,                      ,D[FL/187/177/334]
84,P,1,P[ -28/  16/  80/  15],             
85,D,1,                      ,D[AR/140/175/334]
86,P,1,P[  -4/   0/ 291/  -3],             
87,D,0,                      ,D[FL/ 48/175/334]
88,D,1,                      ,D[AR/  3/175/334]
89,D,0,                      ,D[AR/ 18/175/334]
90,D,0,                      ,D[FL/218/175/334]
91,D,1,                      ,D[AR/253/175/334]
92,D,0,                      ,D[FL/ 48/175/334]
93,P,1,P[ -12/   8/ 251/   6],             
94,P,0,P[  -1/   3/ 106/  -1],             
95,P,1,P[  -7/   0/ 219/  -7],             
96,P,0,P[  -1/   3/ 138/  -1],             
97,P,0,P[  -1/  23/ 112/  20],             
98,P,0,P[  -1/   5/ 289/   4],             
99,P,0,P[  -8/  24/ 119/  -5],             
100,D,0,                      ,D[AR/247/175/334]
101,D,1,                      ,D[FL/ 58/175/334]
102,D,0,                      ,D[FL/ 98/175/334]
103,D,1,                      ,D[FL/219/175/334]
104,D,0,                      ,D[FL/189/174/334]
105,P,1,P[  -7/   6/ 255/  -7],             
106,D,0,                      ,D[FL/297/173/334]
107,P,0,P[  -3/   1/  80/  -3],             
108,D,1,                      ,D[AR/ 71/173/334]
109,P,0,P[ -20/  67/  20/ -16],             
110,D,0,                      ,D[FL/ 77/173/334]
111,D,0,                      ,D[FL/104/173/334]
112,P,0,P[  -5/  43/  51/   1],             
113,D,0,                      ,D[AR/ 18/173/334]
114,P,0,P[ -10/   2/ 301/  -9],             
115,D,0,                      ,D[AR/138/173/334]
116,D,0,                      ,D[FL/ 80/173/334]
117,D,0,                      ,D[FL/275/173/334]
118,P,0,P[  -4/   5/ 325/   4],             
119,D,1,                      ,D[AR/202/173/334]
120,D,1,                      ,D[AR/233/175/334]
121,P,1,P[  -6/   0/ 177/  -6],             
122,D,0,                      ,D[AR/ 15/175/334]
123,D,0,                      ,D[AR/247/175/334]
124,P,0,P[  -3/   0/ 110/  -1],             
125,P,0,P[ -11/  96/  11/  87],             
126,D,1,                      ,D[AR/230/175/334]
127,D,1,                      ,D[AR/233/175/334]
128,P,0,P[ -16/  76/  16/  67],             
129,P,0,P[  -3/  17/ 114/  16],             
130,D,1,                      ,D[FL/ 69/175/334]
131,D,0,                      ,D[AR/ 87/176/334]
132,P,1,P[  -2/   2/ 131/  -2],             
133,D,0,                      ,D[FL/ 22/176/334]
134,D,0,                      ,D[AR/177/176/334]
135,D,1,                      ,D[FL/ 75/176/334]
136,D,0,                      ,D[AR/ 88/176/334]
137,P,0,P[ -11/  25/  77/ -10],             
138,D,0,                      ,D[FL/196/176/334]
139,P,1,P[  -2/   3/  76/   2],             
140,P,1,P[  -2/  22/ 272/  21],             
141,P,0,P[ -37/   1/  37/ -34],             
142,P,0,P[ -19/   0/ 204/  -1],             
143,D,1,                      ,D[FL/ 31/177/334]
144,D,0,                      ,D[FL/214/173/334]
145,D,1,                      ,D[AR/ 43/173/334]
146,P,0,P[  -5/  43/  51/  35],             
147,P,0,P[  -4/   0/ 141/  -1],             
148,P,1,P[  -8/   1/ 184/  -1],             
149,P,0,P[  -1/   4/  66/  -1],             
