evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -1/   0/ 188/  -1],             
2,D,1,                      ,D[FL/206/207/334]
3,D,1,                      ,D[AR/250/205/334]
4,P,1,P[  -1/  10/  64/   9],             
5,P,1,P[ -12/   0/ 214/ -11],             
6,P,1,P[  -2/  18/ 202/  -1],             
7,P,1,P[   0/  22/ 175/  21],             
8,D,0,                      ,D[IM/ 58/200/334]
9,P,0,P[  -1/   4/  94/   3],             
10,P,0,P[   0/  11/ 206/  10],             
11,D,0,                      ,D[IM/ 71/200/334]
12,D,1,                      ,D[FL/251/200/334]
13,P,1,P[  -9/   3/ 330/  -7],             
14,D,0,                      ,D[FL/145/200/334]
15,P,1,P[  -3/   1/ 231/  -3],             
16,D,1,                      ,D[AR/278/199/334]
17,D,0,                      ,D[KK/ 44/199/334]
18,P,1,P[  -8/   1/ 232/  -8],             
19,D,0,                      ,D[AR/ 87/199/334]
20,D,1,                      ,D[AR/180/199/334]
21,D,0,                      ,D[FL/121/199/334]
22,D,0,                      ,D[AR/171/199/334]
23,P,0,P[ -36/  24/  36/  23],             
24,D,1,                      ,D[FL/274/199/334]
25,P,0,P[  -1/   1/  59/  -1],             
26,D,1,                      ,D[FL/ 29/200/334]
27,P,0,P[  -2/   6/ 235/  -2],             
28,D,1,                      ,D[FL/113/200/334]
29,P,0,P[  -1/   1/ 102/  -1],             
30,D,1,                      ,D[AR/183/199/334]
31,D,1,                      ,D[AR/  5/199/334]
32,P,0,P[  -3/   1/ 287/  -3],             
33,D,1,                      ,D[FL/281/199/334]
34,P,0,P[  -5/   1/ 304/  -5],             
35,P,0,P[  -2/   3/ 146/   2],             
36,D,0,                      ,D[FL/ 54/199/334]
37,D,0,                      ,D[AR/294/199/334]
38,P,0,P[  -1/   0/ 255/  -1],             
39,P,1,P[  -1/   1/ 311/  -1],             
40,D,1,                      ,D[AR/ 87/199/334]
41,D,0,                      ,D[AR/ 38/199/334]
42,P,0,P[  -3/   7/ 133/  -1],             
43,D,0,                      ,D[FL/212/199/334]
44,P,1,P[ -18/  21/ 286/ -18],             
45,D,1,                      ,D[AR/  2/199/334]
46,D,1,                      ,D[AR/ 86/199/334]
47,D,1,                      ,D[AR/ 72/199/334]
48,P,0,P[  -7/   1/ 215/  -7],             
49,D,0,                      ,D[AR/255/199/334]
50,D,0,                      ,D[FL/159/199/334]
51,P,1,P[  -3/   4/ 167/  -2],             
52,D,0,                      ,D[AR/233/199/334]
53,P,0,P[ -15/  22/  79/  19],             
54,P,0,P[ -16/   2/ 284/ -16],             
55,P,0,P[  -3/  14/ 286/  11],             
56,D,0,                      ,D[FL/146/199/334]
57,D,1,                      ,D[AR/207/199/334]
58,P,1,P[  -2/   0/ 117/  -1],             
59,P,0,P[  -5/   0/ 147/  -5],             
60,D,0,                      ,D[AR/ 72/199/334]
61,D,0,                      ,D[FL/ 26/199/334]
62,D,0,                      ,D[FL/ 78/199/334]
63,D,0,                      ,D[FL/189/199/334]
64,P,1,P[  -3/  58/   3/  -1],             
65,D,1,                      ,D[FL/ 77/199/334]
66,P,0,P[   0/   3/ 123/   2],             
67,D,1,                      ,D[AR/231/198/334]
68,D,0,                      ,D[FL/ 75/198/334]
69,D,1,                      ,D[AR/114/198/334]
70,D,1,                      ,D[AR/210/198/334]
71,P,0,P[  -1/   2/ 118/   1],             
72,P,0,P[  -8/   0/ 266/  -1],             
73,P,0,P[  -1/  10/  75/  -1],             
74,P,0,P[ -18/ 122/  18/ 105],             
75,D,0,                      ,D[AR/247/198/334]
76,D,1,                      ,D[AR/221/198/334]
77,D,0,                      ,D[FL/ 94/198/334]
78,P,0,P[  -9/   0/ 246/  -9],             
79,D,0,                      ,D[AR/  0/198/334]
80,P,0,P[  -1/   4/ 162/  -1],             
81,P,0,P[ -12/  69/  12/  58],             
82,P,1,P[ -13/   1/ 149/ -13],             
83,P,1,P[ -20/   9/ 105/   6],             
84,P,1,P[  -1/   1/ 198/  -1],             
85,D,0,                      ,D[FL/139/198/334]
86,D,0,                      ,D[FL/192/198/334]
87,D,0,                      ,D[FL/ 67/198/334]
88,P,0,P[   0/  18/ 107/  17],             
89,P,1,P[   0/  14/ 136/  13],             
90,D,0,                      ,D[AR/273/198/334]
91,D,0,                      ,D[AR/185/198/334]
92,D,1,                      ,D[AR/286/198/334]
93,P,1,P[  -8/ 102/   8/  95],             
94,P,1,P[   0/   9/ 224/   2],             
95,D,0,                      ,D[FL/  9/198/334]
96,D,1,                      ,D[AR/171/198/334]
97,P,0,P[  -1/   3/ 195/  -1],             
