evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,0,P[  -1/   1/ 188/  -1],             
2,D,1,                      ,D[IM/287/193/334]
3,D,0,                      ,D[FL/307/193/334]
4,D,1,                      ,D[FL/251/193/334]
5,P,1,P[  -1/   3/  64/  -1],             
6,P,0,P[   0/  16/ 214/   1],             
7,P,1,P[  -1/   2/ 226/  -1],             
8,D,0,                      ,D[AR/177/193/334]
9,D,0,                      ,D[AR/  4/193/334]
10,D,1,                      ,D[IM/240/193/334]
11,D,0,                      ,D[AR/ 43/193/334]
12,D,1,                      ,D[AR/ 89/193/334]
13,P,0,P[  -3/   0/ 226/  -3],             
14,D,0,                      ,D[AR/ 83/193/334]
15,D,1,                      ,D[FL/240/193/334]
16,D,0,                      ,D[FL/171/193/334]
17,D,1,                      ,D[AR/ 86/193/334]
18,D,0,                      ,D[FL/ 80/193/334]
19,P,0,P[  -4/   0/ 255/  -4],             
20,D,0,                      ,D[FL/297/193/334]
21,P,0,P[  -1/   0/ 264/  -1],             
22,D,1,                      ,D[AR/255/193/334]
23,P,0,P[  -9/  52/ 118/  -6],             
24,D,0,                      ,D[AR/112/193/334]
25,D,1,                      ,D[FL/ 74/193/334]
26,D,0,                      ,D[AR/181/194/334]
27,D,0,                      ,D[IM/121/194/334]
28,D,1,                      ,D[FL/186/194/334]
29,P,1,P[  -9/  20/  59/  -6],             
30,D,0,                      ,D[AR/  0/193/334]
31,D,1,                      ,D[IM/311/193/334]
32,D,1,                      ,D[KK/ 44/193/334]
33,D,1,                      ,D[AR/ 18/191/334]
34,P,1,P[  -1/  49/ 235/  46],             
35,D,1,                      ,D[FL/114/192/334]
36,P,0,P[  -4/ 177/ 102/ 155],             
37,D,0,                      ,D[FL/187/193/334]
38,P,1,P[ -11/   0/ 304/ -11],             
39,P,1,P[  -5/   0/ 146/  -1],             
40,D,1,                      ,D[AR/ 42/192/334]
41,D,0,                      ,D[AR/296/192/334]
42,P,1,P[   0/   4/ 255/   3],             
43,D,1,                      ,D[AR/ 86/192/334]
44,D,0,                      ,D[FL/ 80/192/334]
45,D,1,                      ,D[AR/ 26/192/334]
46,P,0,P[ -28/  25/  28/ -28],             
47,D,0,                      ,D[FL/ 74/192/334]
48,D,1,                      ,D[AR/140/192/334]
49,D,1,                      ,D[AR/  2/192/334]
50,D,0,                      ,D[IM/ 77/192/334]
51,P,1,P[ -16/  17/ 167/ -14],             
52,P,0,P[  -3/   0/ 110/  -1],             
53,P,0,P[  -5/   0/ 206/  -5],             
54,P,0,P[  -7/  75/   7/  -7],             
55,D,0,                      ,D[FL/144/191/334]
56,P,0,P[ -13/   6/ 284/ -13],             
57,P,0,P[  -4/   2/ 167/  -4],             
58,P,1,P[  -5/  27/ 219/  24],             
59,D,0,                      ,D[AR/275/192/334]
60,P,0,P[  -8/   1/ 186/  -8],             
61,P,0,P[   0/   7/ 250/   6],             
62,D,1,                      ,D[AR/221/192/334]
