evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
134,P,0,P[ -44/   5/ 271/ -39],             
135,P,1,P[ -20/  92/ 126/ -13],             
136,D,0,                      ,D[FL/ 51/217/334]
137,P,0,P[  -5/   0/ 125/  -1],             
138,P,0,P[ -10/   3/ 191/  -7],             
139,D,1,                      ,D[AR/272/217/334]
140,D,0,                      ,D[FL/173/217/334]
141,P,0,P[  -3/   0/  77/  -1],             
142,D,1,                      ,D[AR/245/217/334]
143,P,0,P[ -11/   7/  11/ -11],             
144,P,1,P[ -12/   3/ 291/   2],             
145,P,0,P[ -47/  12/  47/  11],             
146,D,0,                      ,D[FL/122/216/334]
147,D,0,                      ,D[FL/ 30/216/334]
148,D,1,                      ,D[FL/219/216/334]
149,D,0,                      ,D[FL/159/215/334]
150,D,1,                      ,D[AR/272/215/334]
151,D,0,                      ,D[AR/270/215/334]
152,D,1,                      ,D[AR/289/215/334]
153,P,1,P[  -6/  19/ 272/  18],             
154,D,0,                      ,D[FL/205/213/334]
155,P,1,P[  -3/  30/ 150/  24],             
156,D,1,                      ,D[FL/ 97/213/334]
157,D,0,                      ,D[FL/149/212/334]
158,P,1,P[  -6/   8/ 243/   7],             
159,P,0,P[ -44/   4/ 271/   3],             
160,D,1,                      ,D[AR/296/211/334]
161,P,0,P[  -1/   2/ 223/   1],             
162,P,0,P[ -30/  57/  30/ -29],             
163,D,0,                      ,D[AR/ 14/210/334]
164,D,0,                      ,D[FL/120/210/334]
165,D,0,                      ,D[FL/219/210/334]
166,P,1,P[  -4/  27/ 270/  25],             
167,D,0,                      ,D[AR/ 40/210/334]
168,D,1,                      ,D[IM/122/210/334]
169,D,0,                      ,D[FL/206/210/334]
170,D,1,                      ,D[AR/ 86/210/334]
171,D,0,                      ,D[FL/ 33/210/334]
172,P,0,P[ -42/  37/  42/ -40],             
173,D,1,                      ,D[AR/ 59/210/334]
174,P,0,P[  -4/   2/ 314/  -3],             
175,D,0,                      ,D[AR/ 40/210/334]
176,P,1,P[  -8/  22/ 155/  19],             
177,D,1,                      ,D[AR/273/210/334]
178,D,0,                      ,D[FL/114/210/334]
179,P,1,P[  -2/   8/ 114/  -2],             
180,D,1,                      ,D[AR/197/210/334]
181,D,0,                      ,D[AR/296/210/334]
182,P,0,P[  -8/   2/ 180/  -8],             
183,D,0,                      ,D[FL/ 55/210/334]
184,D,1,                      ,D[AR/ 87/210/334]
185,D,1,                      ,D[FL/ 68/210/334]
186,D,1,                      ,D[FL/259/211/334]
187,P,1,P[  -5/   0/ 125/  -5],             
188,P,0,P[  -8/   4/ 155/   3],             
189,P,0,P[  -1/  57/   1/  44],             
190,P,1,P[  -6/   1/ 140/  -6],             
191,P,1,P[  -1/   3/ 256/  -1],             
192,P,0,P[  -8/   0/ 308/  -8],             
193,P,0,P[  -1/  11/ 240/   9],             
194,D,0,                      ,D[FL/259/210/334]
195,P,0,P[  -3/   0/ 149/  -1],             
196,P,0,P[  -4/   0/ 201/  -4],             
197,P,0,P[ -14/   2/  70/  -2],             
198,P,0,P[ -12/  66/  12/ -11],             
199,P,0,P[  -1/   7/  68/  -1],             
