evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,D,1,                      ,D[FL/205/230/334]
2,D,0,                      ,D[FL/184/229/334]
3,D,1,                      ,D[FL/ 98/229/334]
4,P,1,P[ -31/   5/  67/ -29],             
5,D,0,                      ,D[FL/242/228/334]
6,P,0,P[ -19/  10/ 117/   9],             
7,P,0,P[  -4/   2/ 202/  -4],             
8,P,1,P[  -2/  15/ 175/  14],             
9,D,0,                      ,D[IM/ 48/227/334]
10,P,1,P[  -1/   3/  94/  -1],             
11,P,0,P[  -4/   0/  92/  -4],             
12,P,1,P[ -14/   9/ 234/   8],             
13,P,1,P[  -5/   4/ 330/  -4],             
14,D,0,                      ,D[AR/144/226/334]
15,D,0,                      ,D[FL/103/226/334]
16,D,0,                      ,D[FL/252/226/334]
17,D,0,                      ,D[AR/ 37/226/334]
18,P,1,P[  -9/   8/ 110/  -8],             
19,P,0,P[  -1/   2/ 218/   1],             
20,D,0,                      ,D[FL/184/226/334]
21,P,0,P[  -4/   1/ 235/  -4],             
22,P,0,P[ -36/   9/  36/   8],             
23,D,0,                      ,D[AR/273/226/334]
24,P,0,P[  -2/   0/ 233/  -2],             
25,P,0,P[ -30/  28/  30/ -28],             
26,D,0,                      ,D[AR/  5/226/334]
27,D,0,                      ,D[AR/105/226/334]
28,P,0,P[  -1/  16/ 102/  13],             
29,D,1,                      ,D[AR/181/226/334]
30,P,0,P[  -3/  40/ 210/  38],             
31,P,1,P[  -3/   5/ 304/  -3],             
32,P,0,P[  -7/   8/ 270/  -7],             
33,D,0,                      ,D[IM/ 92/225/334]
34,P,1,P[  -5/   3/ 311/  -5],             
35,D,1,                      ,D[IM/ 79/223/334]
36,P,1,P[  -1/  39/ 106/  34],             
37,P,1,P[  -8/   8/ 249/  -8],             
38,D,1,                      ,D[IM/137/221/334]
39,D,1,                      ,D[AR/  2/221/334]
40,D,0,                      ,D[FL/ 77/221/334]
41,D,0,                      ,D[AR/ 64/221/334]
