evaluation,choice,kept,PdetailsBackForwardChosenstepsWaled,DdetailsKindNumhotNumall
1,P,1,P[  -9/  13/ 188/  -6],             
2,D,0,                      ,D[IM/287/197/334]
3,D,1,                      ,D[FL/307/197/334]
4,D,0,                      ,D[AR/252/197/334]
5,P,1,P[ -15/   2/  67/ -14],             
6,D,1,                      ,D[AR/252/195/334]
7,P,1,P[  -1/   2/ 226/  -1],             
8,D,1,                      ,D[AR/177/192/334]
9,D,1,                      ,D[AR/  4/192/334]
10,D,0,                      ,D[AR/247/192/334]
11,D,1,                      ,D[AR/210/192/334]
12,P,0,P[  -3/   0/ 226/  -3],             
13,D,0,                      ,D[AR/ 86/192/334]
14,D,1,                      ,D[AR/247/192/334]
15,P,1,P[   0/  32/ 234/  31],             
16,P,0,P[   0/   4/ 330/   1],             
17,D,0,                      ,D[FL/149/192/334]
18,P,1,P[  -5/   5/ 231/  -5],             
19,D,1,                      ,D[FL/282/193/334]
20,D,1,                      ,D[AR/226/194/334]
21,P,0,P[  -3/   2/ 118/  -3],             
22,D,0,                      ,D[FL/114/194/334]
23,D,0,                      ,D[AR/ 83/194/334]
24,D,1,                      ,D[FL/183/194/334]
25,P,1,P[  -2/  10/ 235/  -1],             
26,P,1,P[ -36/  47/  36/  46],             
27,D,1,                      ,D[AR/276/194/334]
28,D,1,                      ,D[IM/311/194/334]
29,D,0,                      ,D[AR/ 48/194/334]
30,P,1,P[  -3/   2/ 291/  -3],             
31,D,1,                      ,D[AR/270/193/334]
32,P,1,P[  -8/   2/ 332/   1],             
33,P,0,P[  -6/  13/ 159/  12],             
34,D,0,                      ,D[FL/ 95/193/334]
35,D,1,                      ,D[AR/289/193/334]
36,P,0,P[ -36/  52/  36/ -32],             
37,P,0,P[ -11/   0/ 304/ -11],             
38,P,1,P[  -1/   1/ 146/  -1],             
39,D,1,                      ,D[FL/ 45/193/334]
40,D,1,                      ,D[AR/289/194/334]
41,P,0,P[   0/   4/ 255/   3],             
42,D,0,                      ,D[AR/ 87/194/334]
43,D,0,                      ,D[AR/ 83/194/334]
44,D,0,                      ,D[FL/ 31/194/334]
45,P,0,P[ -16/   3/ 133/ -13],             
46,D,1,                      ,D[FL/219/194/334]
47,P,1,P[ -10/   3/ 286/ -10],             
48,D,0,                      ,D[AR/  2/190/334]
49,D,0,                      ,D[FL/ 78/190/334]
50,D,1,                      ,D[AR/ 59/190/334]
51,P,0,P[ -10/  20/ 120/  -7],             
52,P,0,P[   0/  13/ 276/   2],             
53,D,1,                      ,D[FL/113/190/334]
54,P,1,P[  -7/  58/   7/  57],             
55,D,0,                      ,D[AR/141/189/334]
56,D,0,                      ,D[AR/ 19/189/334]
57,P,1,P[ -13/  13/ 284/ -12],             
58,P,1,P[  -5/   3/ 167/  -5],             
59,P,1,P[   0/  10/ 321/   1],             
60,D,0,                      ,D[AR/134/189/334]
61,P,1,P[  -7/  31/ 117/   3],             
62,P,0,P[ -10/   0/ 123/ -10],             
63,P,1,P[ -20/  35/  72/  29],             
64,P,1,P[  -8/   8/ 290/  -5],             
65,D,0,                      ,D[AR/132/188/334]
66,P,1,P[  -2/   7/ 295/   6],             
67,P,1,P[ -39/  76/  39/  65],             
68,D,1,                      ,D[AR/285/189/334]
69,D,1,                      ,D[AR/221/189/334]
70,P,0,P[  -7/   8/ 292/  -5],             
71,D,1,                      ,D[AR/186/189/334]
72,P,0,P[ -14/  16/  14/ -11],             
73,P,0,P[ -10/  28/  10/  -9],             
74,P,1,P[  -1/   3/ 203/  -1],             
75,D,1,                      ,D[AR/ 87/190/334]
76,D,0,                      ,D[IM/ 30/190/334]
77,P,0,P[ -14/  16/  14/  14],             
78,P,1,P[   0/   7/ 110/   6],             
79,D,0,                      ,D[AR/180/190/334]
80,D,1,                      ,D[FL/182/190/334]
81,P,1,P[  -9/   3/  62/  -9],             
82,D,1,                      ,D[AR/300/187/334]
83,P,0,P[  -6/  33/ 240/  31],             
84,P,1,P[  -7/   4/ 149/  -7],             
85,P,0,P[  -6/   0/ 152/  -1],             
86,P,1,P[  -1/   0/ 198/  -1],             
87,D,1,                      ,D[AR/ 42/188/334]
88,D,0,                      ,D[FL/139/188/334]
89,D,0,                      ,D[IM/187/188/334]
90,P,0,P[  -2/   8/ 139/   7],             
91,P,1,P[   0/  54/   0/   4],             
92,P,1,P[   0/  11/ 184/  10],             
93,D,1,                      ,D[AR/ 59/184/334]
94,D,1,                      ,D[AR/179/184/334]
95,D,0,                      ,D[FL/ 31/184/334]
96,P,0,P[  -8/  57/   8/  52],             
97,P,0,P[ -10/   0/ 224/  -8],             
98,D,1,                      ,D[AR/  8/184/334]
99,D,1,                      ,D[FL/171/184/334]
100,P,1,P[  -1/   7/ 195/  -1],             
101,P,0,P[  -8/   0/ 334/  -8],             
102,P,0,P[ -45/  42/  45/ -44],             
103,D,1,                      ,D[FL/305/184/334]
104,D,0,                      ,D[AR/ 83/185/334]
105,D,1,                      ,D[FL/230/185/334]
106,D,0,                      ,D[FL/ 74/186/334]
107,D,0,                      ,D[AR/ 12/186/334]
108,P,1,P[ -17/   0/ 126/  -2],             
109,P,0,P[ -10/  28/  10/  -4],             
110,D,0,                      ,D[AR/ 69/186/334]
111,P,1,P[  -5/  14/ 262/  -2],             
112,D,0,                      ,D[AR/  6/185/334]
113,D,1,                      ,D[AR/ 20/185/334]
114,D,0,                      ,D[AR/177/186/334]
115,D,0,                      ,D[FL/166/186/334]
116,P,0,P[ -15/   4/ 284/   2],             
117,P,0,P[  -5/  14/ 239/  11],             
118,P,0,P[  -2/  54/  89/  44],             
119,D,0,                      ,D[IM/ 94/186/334]
120,P,1,P[  -1/  13/ 108/  12],             
121,D,0,                      ,D[FL/264/184/334]
122,D,0,                      ,D[AR/ 37/184/334]
123,D,1,                      ,D[FL/ 22/184/334]
124,D,0,                      ,D[AR/ 37/185/334]
125,D,0,                      ,D[AR/275/185/334]
126,D,0,                      ,D[AR/  8/185/334]
127,P,1,P[ -12/  49/  12/  -4],             
128,P,1,P[  -8/   0/ 187/  -7],             
129,P,1,P[  -4/   1/ 210/  -4],             
130,D,1,                      ,D[AR/  2/183/334]
131,P,1,P[  -8/   0/ 220/  -1],             
132,P,1,P[ -12/   5/  72/  -9],             
133,D,1,                      ,D[AR/225/181/334]
134,P,1,P[ -15/  68/  15/  -3],             
135,D,1,                      ,D[FL/ 51/181/334]
136,D,0,                      ,D[FL/190/180/334]
137,P,1,P[  -4/   2/  79/  -4],             
138,P,1,P[  -5/   0/ 211/  -5],             
139,D,1,                      ,D[FL/258/185/334]
140,P,1,P[   0/   5/ 206/   4],             
141,P,0,P[   0/  14/ 271/   2],             
142,P,1,P[ -13/   1/ 126/ -12],             
143,D,1,                      ,D[AR/ 49/181/334]
144,P,1,P[  -2/   8/ 290/  -2],             
145,D,0,                      ,D[FL/  7/180/334]
146,D,0,                      ,D[AR/232/180/334]
147,D,0,                      ,D[AR/177/180/334]
148,P,1,P[  -1/   1/ 293/  -1],             
149,P,0,P[  -9/   0/ 257/  -1],             
150,D,1,                      ,D[AR/  4/179/334]
151,P,0,P[  -9/   1/ 333/  -9],             
152,D,0,                      ,D[AR/248/179/334]
153,P,0,P[ -48/   1/  48/ -40],             
154,D,0,                      ,D[FL/258/179/334]
155,P,1,P[ -34/  23/  34/  18],             
156,D,1,                      ,D[IM/217/177/334]
157,D,0,                      ,D[FL/235/177/334]
158,D,0,                      ,D[AR/270/177/334]
159,D,0,                      ,D[FL/185/177/334]
160,P,1,P[  -1/  24/ 272/  23],             
161,D,0,                      ,D[AR/208/176/334]
162,P,1,P[  -2/   2/  65/  -2],             
163,P,1,P[   0/   8/ 162/   1],             
164,D,0,                      ,D[AR/224/176/334]
165,D,1,                      ,D[AR/226/176/334]
166,P,1,P[  -1/   0/  62/  -1],             
167,P,1,P[   0/  13/ 271/  12],             
168,D,0,                      ,D[AR/291/176/334]
169,P,0,P[   0/   8/ 223/   6],             
170,P,0,P[ -30/  19/  30/ -30],             
171,D,1,                      ,D[AR/ 15/176/334]
172,D,0,                      ,D[AR/129/176/334]
173,D,0,                      ,D[AR/221/176/334]
174,P,0,P[  -8/   0/ 270/  -8],             
175,D,1,                      ,D[AR/ 41/176/334]
176,D,0,                      ,D[AR/129/176/334]
177,D,1,                      ,D[AR/202/176/334]
178,D,0,                      ,D[AR/256/177/334]
179,P,1,P[ -62/  11/  62/   1],             
180,P,1,P[  -6/   6/ 237/   4],             
181,D,0,                      ,D[FL/185/176/334]
182,D,1,                      ,D[AR/ 41/176/334]
183,P,0,P[ -15/   0/ 242/ -14],             
184,P,1,P[  -1/   4/ 127/  -1],             
185,P,0,P[  -1/   7/ 180/  -1],             
186,D,1,                      ,D[AR/ 59/176/334]
187,D,1,                      ,D[AR/ 89/176/334]
188,D,0,                      ,D[FL/ 71/176/334]
189,D,0,                      ,D[AR/151/176/334]
190,P,0,P[  -5/   1/  84/  -5],             
191,P,0,P[  -2/  29/  48/  24],             
192,P,0,P[ -16/  43/  16/  -5],             
193,P,0,P[  -1/   7/ 180/  -1],             
194,D,0,                      ,D[AR/178/176/334]
195,P,0,P[  -2/   5/ 308/   4],             
196,P,0,P[ -11/   5/ 240/   3],             
197,D,1,                      ,D[AR/256/176/334]
198,D,0,                      ,D[AR/ 39/176/334]
199,P,0,P[  -2/   0/ 201/  -2],             
